ID;Heures_depuis_dernière_maintenance;Maintenance_complète_année_précédente;Warning_depuis_dernière_maintenance;Heures_usage;Site_fabrication;Type_fréquence;Sensitivité;Type;Usage_critique;Type_avion;Incident
100157;53;Yes;Yes;2628;2;C;Normal;Normal;No;Fighter type C;No
100158;83;No;No;3385;2;A1;Low;Dry;No;Fighter type C;No
100159;65;No;No;1318;2;A1;Low;Wet;No;Passengers SD;No
100160;56;No;No;1774;2;D;Low;Wet;No;Fighter type C;No
100161;54;No;No;4835;1;C;Low;Normal;No;Passengers LD;No
100162;78;No;Yes;3762;2;A2;Low;Wet;Yes;Other;No
100163;19;Yes;Yes;1619;2;C;Normal;Dry;Yes;Fighter type B;No
100164;35;No;Yes;1868;2;A1;Low;Wet;No;Turboprop;No
100165;40;No;No;3481;2;A1;Low;Wet;No;Fighter type B;No
100166;61;Yes;Yes;3979;1;C;Low;Wet;No;Cargo;No
100167;;No;No;2082;1;A1;Low;;No;Turboprop;No
100168;26;No;Yes;2683;1;A2;Low;Dry;No;Unknown;No
100169;65;No;No;2523;1;D;Low;Dry;No;Passengers LD;No
100170;55;Yes;Yes;3018;1;A1;Low;Normal;No;Other;No
100171;53;No;No;3568;2;D;Low;Wet;Yes;Other;No
100172;50;No;Yes;3430;2;C;Low;Wet;;Helicopter;Yes
100173;55;No;Yes;1855;2;D;Normal;Wet;No;Other;No
100174;61;Yes;No;2609;;;Normal;Dry;Yes;Helicopter;No
100175;60;No;No;1676;2;D;Low;Wet;Yes;Passengers SD;No
100176;36;Yes;No;2149;2;D;Low;Dry;Yes;Fighter type C;No
100177;67;Yes;No;2017;1;C;Normal;Dry;No;Unknown;No
100178;28;Yes;No;2683;1;C;Low;Normal;No;Tanker;No
100179;50;No;No;2009;2;A1;Low;Dry;Yes;Passengers SD;No
100180;56;No;No;1884;2;B;Low;Normal;No;Fighter type C;No
100181;66;Yes;No;2545;2;A1;Low;Normal;No;Passengers SD;No
100182;42;No;No;2860;1;A1;Low;Normal;Yes;Fighter type C;No
100183;45;No;No;1030;1;A2;Low;Dry;No;Fighter type B;No
100184;59;Yes;No;2892;1;C;Normal;Dry;Yes;Unknown;No
100185;53;No;No;3401;2;A1;Normal;Normal;No;Helicopter;No
100186;83;No;No;2155;2;A1;Normal;Normal;No;Passengers SD;No
100187;38;Yes;Yes;2124;1;D;Low;Wet;Yes;Fighter type A;No
100188;36;Yes;Yes;2379;1;C;Low;Normal;No;Passengers LD;No
100189;28;No;No;2962;2;A2;Low;Wet;No;Unknown;No
100190;39;No;No;4351;1;D;Normal;;Yes;Fighter type B;No
100191;75;No;Yes;3075;1;C;Low;Normal;No;Fighter type A;No
100192;51;No;No;2429;1;D;Normal;Wet;Yes;Other;No
100193;32;No;No;1994;1;D;Low;Dry;;Helicopter;No
100194;43;Yes;No;2168;2;A1;Low;Wet;No;Fighter type C;No
100195;57;Yes;No;3043;1;A2;Low;Dry;No;Helicopter;No
100196;39;No;No;2452;2;D;Low;Normal;No;Fighter type B;No
100197;70;No;No;2953;1;C;Low;Wet;No;Unknown;No
100198;41;Yes;Yes;3917;1;A2;Low;Wet;No;Tanker;No
100199;56;Yes;No;2492;1;A1;Normal;Wet;No;Fighter type B;No
100200;34;No;Yes;3754;1;D;Normal;Normal;No;Cargo;No
100201;;No;Yes;3493;2;A1;Normal;Normal;No;Unknown;Yes
100202;48;Yes;No;3376;1;D;Low;Wet;No;Cargo;No
100203;32;No;Yes;2793;1;D;Low;Wet;Yes;;No
100204;21;No;No;3828;1;A1;Low;Normal;No;Cargo;No
100205;52;Yes;No;1433;1;C;Low;Wet;No;Turboprop;No
100206;23;No;Yes;3302;1;C;Low;Wet;No;Fighter type C;No
100207;22;No;Yes;2251;1;A2;Normal;Wet;No;Tanker;No
100208;69;Yes;No;2335;2;C;Low;Wet;Yes;Other;No
100209;76;No;No;2717;2;C;Low;Dry;Yes;Turboprop;No
100210;27;;No;4049;2;C;Low;Dry;Yes;Fighter type B;No
100211;59;No;No;4074;1;D;Normal;Normal;No;Helicopter;Yes
100212;49;No;Yes;2240;2;A1;Low;Dry;Yes;Other;No
100213;25;No;Yes;3061;1;C;Normal;Dry;No;Turboprop;No
100214;34;No;Yes;2300;1;D;Low;Wet;No;Cargo;No
100215;49;Yes;No;2171;2;A1;Normal;Normal;No;Passengers SD;No
100216;57;Yes;No;4036;2;A1;Normal;Dry;Yes;Cargo;No
100217;18;No;No;1553;2;A1;Normal;Wet;Yes;Fighter type B;No
100218;58;No;No;937;1;A1;Low;Wet;No;Tanker;No
100219;66;Yes;No;1899;1;D;Low;Dry;Yes;Unknown;No
100220;70;Yes;No;1793;1;D;Normal;Wet;No;Fighter type B;No
100221;59;No;No;1540;2;A2;Low;Dry;;Passengers LD;No
100222;34;Yes;;4080;2;A2;Normal;Wet;No;Passengers SD;No
100223;26;No;No;1965;1;D;;Wet;;Helicopter;No
100224;48;No;No;2162;1;D;Low;Wet;No;Unknown;No
100225;47;Yes;No;3018;2;C;Low;Wet;No;Unknown;No
100226;67;No;Yes;2028;2;A2;Low;Wet;No;Fighter type B;No
100227;;No;No;1965;1;D;Normal;Dry;No;Turboprop;No
100228;45;No;Yes;2070;1;C;Low;Dry;No;Fighter type C;No
100229;51;No;Yes;2554;1;C;Low;Normal;No;Fighter type C;No
100230;31;No;Yes;1816;1;A1;Normal;Dry;No;Passengers LD;No
100231;61;Yes;No;1775;2;D;Low;Normal;Yes;Unknown;No
100232;51;No;Yes;3095;1;A1;Low;Normal;No;Fighter type A;No
100233;30;No;No;2116;1;D;Low;Normal;No;Fighter type B;No
100234;36;Yes;Yes;2032;2;D;Normal;Normal;No;Tanker;No
100235;38;No;No;2079;1;A2;Normal;Normal;No;Other;No
100236;;Yes;No;2217;2;A2;Low;Wet;No;Unknown;No
100237;76;No;No;3874;1;A1;Low;Wet;No;Fighter type C;No
100238;70;No;No;2320;2;A1;Normal;Wet;Yes;Cargo;No
100239;54;No;Yes;3579;1;A2;Low;Dry;No;Passengers SD;No
100240;82;Yes;Yes;3381;2;C;Normal;Dry;No;Fighter type C;No
100241;53;Yes;No;2346;2;C;Low;Dry;Yes;Fighter type C;No
100242;58;Yes;Yes;2200;1;B;Low;Normal;No;Passengers LD;No
100243;55;No;No;2661;2;C;Normal;Normal;No;Other;No
100244;62;Yes;No;2183;1;C;Low;Dry;Yes;Fighter type C;No
100245;80;No;No;2649;2;A1;Normal;Wet;Yes;Fighter type A;No
100246;62;Yes;No;3960;1;C;Normal;Dry;Yes;Fighter type C;No
100247;52;No;No;2610;;A2;Normal;Normal;No;Unknown;No
100248;21;No;No;1546;1;A1;Low;Dry;No;Unknown;No
100249;43;Yes;No;2160;1;A1;Low;Dry;Yes;Other;No
100250;43;No;No;2289;1;A1;Low;Dry;Yes;Tanker;No
100251;36;Yes;No;2405;2;C;Normal;Normal;No;Helicopter;No
100252;70;No;No;3287;1;;Normal;;No;Cargo;No
100253;36;No;Yes;4168;1;A1;Low;Dry;No;Fighter type B;No
100254;30;No;Yes;2035;2;A1;Low;Dry;;Tanker;No
100255;49;No;No;3344;2;A1;Normal;Wet;No;Turboprop;No
100256;34;Yes;Yes;3994;2;A2;Normal;Wet;No;Fighter type B;No
100257;62;No;No;1998;2;A2;Normal;Dry;No;Fighter type C;No
100258;44;Yes;Yes;2857;1;D;Low;Wet;No;Fighter type C;No
100259;58;Yes;No;2688;1;A2;Low;Dry;Yes;Unknown;No
100260;59;No;Yes;948;2;A1;Low;Dry;No;Fighter type A;No
100261;48;No;No;3143;1;C;Low;Dry;No;Unknown;No
100262;65;No;Yes;2639;2;A2;Low;Normal;No;Cargo;Yes
100263;26;No;Yes;3791;1;A1;Low;Wet;Yes;Fighter type C;No
100264;52;No;No;3379;1;A1;Normal;Wet;No;Fighter type C;No
100265;20;No;Yes;1559;1;A1;Normal;Dry;No;Passengers LD;No
100266;31;Yes;Yes;1966;2;A1;Normal;Normal;No;Unknown;No
100267;54;No;No;2603;1;;Low;Normal;No;Cargo;No
100268;69;Yes;No;5143;1;D;;Normal;Yes;Other;No
100269;56;Yes;No;3243;1;D;Low;Normal;No;Passengers SD;No
100270;40;Yes;No;1719;2;A2;Normal;Normal;No;Tanker;No
100271;53;Yes;No;3318;2;D;Normal;Dry;No;Tanker;No
100272;30;No;Yes;3689;2;C;Normal;Normal;No;Passengers SD;No
100273;79;No;No;3137;2;A2;Low;Wet;No;Fighter type C;No
100274;46;Yes;No;2571;1;A2;Low;Wet;Yes;Fighter type A;No
100275;28;No;Yes;2143;1;A1;Low;Dry;No;Fighter type A;No
100276;50;No;No;2128;2;B;Low;Wet;Yes;Unknown;No
100277;48;Yes;No;4364;1;B;Low;Dry;No;Fighter type B;No
100278;57;No;Yes;2344;1;D;;Normal;No;Fighter type B;No
100279;56;No;Yes;2204;1;A2;Low;Normal;No;Other;No
100280;33;Yes;No;4235;1;A2;Low;Wet;No;Tanker;No
100281;62;No;No;2422;1;A2;Low;Dry;No;Passengers LD;No
100282;28;No;No;1925;2;A1;Low;Normal;Yes;Tanker;No
100283;50;No;No;1969;2;A1;Low;Wet;No;Fighter type C;No
100284;67;No;No;2063;2;C;Low;Normal;No;Turboprop;No
100285;49;No;Yes;2854;1;A1;Normal;Wet;No;Unknown;No
100286;31;Yes;No;1539;2;A1;Low;Dry;Yes;Other;No
100287;60;No;No;2606;2;C;Normal;Normal;No;Fighter type C;No
100288;79;Yes;No;2616;2;A1;Low;Dry;Yes;Unknown;No
100289;68;Yes;Yes;1797;2;A1;Normal;Wet;No;Fighter type B;No
100290;;No;No;2301;2;C;Low;Normal;Yes;;No
100291;67;No;No;2904;1;C;Low;Dry;No;Fighter type A;No
100292;25;No;Yes;2336;2;D;Normal;Dry;Yes;Fighter type A;No
100293;39;Yes;Yes;3465;2;D;Low;Dry;No;Passengers LD;No
100294;53;No;No;3105;2;C;Low;Normal;;Passengers LD;No
100295;48;No;No;2913;1;A1;Low;Normal;No;Passengers LD;No
100296;56;Yes;No;2364;;C;Low;Dry;No;Unknown;No
100297;52;No;No;1947;;A2;Low;Normal;No;Passengers LD;Yes
100298;29;No;Yes;2560;1;A1;Low;Dry;No;Fighter type C;No
100299;34;No;Yes;3162;1;C;Low;Normal;No;Passengers LD;No
100300;67;No;Yes;4472;1;A1;Low;Wet;No;Unknown;No
100301;60;No;No;2120;2;C;Normal;Normal;No;Fighter type C;No
100302;63;No;Yes;2017;2;A2;Normal;Dry;No;Passengers LD;No
100303;59;Yes;Yes;2103;1;C;Low;Normal;No;Passengers SD;No
100304;;Yes;Yes;1500;2;C;Low;Normal;No;Fighter type A;No
100305;51;No;No;2533;;A2;Low;Dry;Yes;Fighter type C;No
100306;41;No;;2765;2;C;Normal;Normal;No;Passengers LD;No
100307;63;No;Yes;2750;1;A1;Low;Wet;No;Passengers SD;No
100308;61;No;Yes;1713;1;C;Low;Normal;No;Fighter type B;No
100309;84;No;Yes;3010;2;A1;Low;Normal;No;Fighter type B;No
100310;55;No;No;1946;1;D;Low;Wet;No;Fighter type A;No
100311;46;No;No;3442;2;B;Normal;Wet;Yes;Fighter type C;No
100312;48;No;No;1404;1;A1;Low;;No;Other;No
100313;80;No;No;3382;2;A1;Low;Dry;No;Helicopter;No
100314;60;No;No;3117;1;D;Low;Normal;Yes;Passengers SD;No
100315;29;No;No;3021;2;C;Low;Dry;No;Passengers LD;No
100316;39;No;Yes;2353;1;C;Normal;Normal;Yes;Passengers SD;No
100317;53;No;No;2780;1;A2;Low;Wet;No;Passengers SD;No
100318;41;No;No;2396;;A1;Normal;Dry;No;Fighter type B;No
100319;35;No;Yes;2014;1;A1;;Normal;No;Helicopter;No
100320;24;No;No;2433;2;A2;Normal;Normal;No;Helicopter;No
100321;56;No;Yes;3886;2;C;Normal;Wet;No;Turboprop;No
100322;67;No;No;1625;2;A1;Normal;Normal;Yes;Fighter type A;No
100323;42;No;Yes;3410;1;A1;Low;;Yes;Passengers LD;No
100324;36;No;Yes;3828;1;A2;Normal;Dry;Yes;Fighter type C;No
100325;26;No;No;2489;1;A2;Low;Dry;No;Other;No
100326;40;No;No;1719;1;A1;Low;Normal;No;Fighter type A;No
100327;72;No;Yes;4281;1;B;Normal;Dry;No;Other;No
100328;47;No;No;1945;1;C;Low;Normal;No;Fighter type A;No
100329;21;Yes;No;3663;1;C;Low;Normal;Yes;Fighter type B;No
100330;30;No;No;2831;1;D;Low;Wet;No;Fighter type A;No
100331;52;;Yes;2081;2;A2;Low;Wet;No;Other;No
100332;51;No;No;3129;1;A1;Low;Wet;Yes;Fighter type A;No
100333;46;No;No;2350;1;C;Normal;Dry;No;Fighter type B;No
100334;61;No;No;2942;1;A1;Low;Normal;Yes;Passengers LD;No
100335;31;No;No;1978;2;D;Low;Dry;No;Other;No
100336;51;Yes;No;3031;1;A2;Normal;Normal;No;Passengers LD;No
100337;36;;No;2933;2;C;Low;Wet;No;Fighter type C;No
100338;41;No;Yes;1657;1;D;Low;Normal;Yes;Cargo;No
100339;44;No;No;1471;2;A1;Normal;Normal;No;Turboprop;No
100340;71;No;No;2556;2;A1;Normal;Wet;Yes;Fighter type C;No
100341;45;Yes;No;3267;2;D;Low;Normal;;Passengers LD;No
100342;34;Yes;No;2272;2;A2;Low;Wet;No;Unknown;Yes
100343;54;Yes;Yes;3293;1;A1;Low;Wet;No;Passengers SD;No
100344;63;No;No;2203;2;D;Normal;Normal;No;;No
100345;23;No;Yes;3173;1;C;Low;Wet;No;Cargo;No
100346;40;;No;2149;2;C;Low;Normal;No;Fighter type B;No
100347;;No;No;3143;1;A1;Low;Dry;Yes;Helicopter;No
100348;55;No;Yes;2635;2;A2;Normal;Dry;No;Cargo;No
100349;62;No;Yes;5293;2;D;Normal;Dry;Yes;Fighter type C;No
100350;41;No;No;3184;1;A2;Normal;Wet;Yes;Passengers SD;No
100351;59;Yes;No;2596;1;C;Normal;Wet;No;Fighter type C;No
100352;48;No;No;1927;1;A1;Low;Dry;No;Passengers LD;No
100353;65;No;Yes;2356;2;D;Low;Dry;No;Fighter type B;No
100354;35;No;No;2413;1;A1;Normal;Wet;No;Fighter type C;No
100355;28;;Yes;1666;1;C;Low;Wet;Yes;Turboprop;No
100356;65;No;No;1738;1;A2;Normal;Dry;No;Other;No
100357;72;Yes;No;3068;2;C;Low;Normal;No;Passengers LD;No
100358;25;No;No;3191;1;A1;Low;Normal;No;Other;No
100359;57;No;No;2095;2;D;Normal;Normal;No;Passengers SD;No
100360;39;No;Yes;2640;1;C;Low;Normal;No;Passengers LD;No
100361;57;No;Yes;1973;2;D;Low;Normal;No;Cargo;No
100362;72;No;No;2122;2;A2;Low;Normal;No;Passengers SD;No
100363;56;Yes;No;3911;1;D;Normal;Normal;No;Fighter type C;No
100364;52;No;No;4643;1;D;Low;Wet;No;Fighter type C;No
100365;50;No;No;2326;2;A2;Normal;Normal;No;Fighter type C;Yes
100366;50;No;No;2309;2;C;Normal;Dry;No;Fighter type C;No
100367;53;Yes;No;1340;2;A1;Low;Wet;No;Passengers SD;No
100368;70;No;No;5026;1;A2;Normal;Normal;No;Fighter type B;Yes
100369;32;Yes;No;2197;1;A1;Low;Dry;;Other;No
100370;30;No;No;2972;2;A2;Low;Normal;No;Tanker;Yes
100371;66;No;No;4376;1;C;Low;Normal;No;Fighter type C;No
100372;59;Yes;No;1349;2;A2;Low;Dry;No;Helicopter;No
100373;57;Yes;Yes;2227;1;C;Normal;Dry;No;Fighter type A;No
100374;53;No;No;3330;1;A1;Normal;Dry;No;Unknown;No
100375;73;No;No;2607;1;A1;Low;Wet;No;Passengers SD;No
100376;52;No;No;4362;1;D;Low;Normal;No;Passengers SD;No
100377;65;Yes;No;4024;1;A1;Low;Wet;No;Passengers SD;No
100378;69;No;No;2054;1;C;Low;Wet;No;Unknown;No
100379;35;;No;2188;1;D;Low;Dry;No;Tanker;No
100380;42;No;Yes;2362;2;C;Normal;Normal;Yes;;Yes
100381;65;No;Yes;2174;2;A1;Low;Dry;No;Fighter type A;No
100382;33;No;No;2593;1;C;Normal;Wet;No;Fighter type C;No
100383;58;;Yes;2738;1;D;Low;Wet;Yes;;No
100384;80;No;No;2478;2;C;Low;Dry;No;Fighter type A;No
100385;69;No;No;3087;2;D;Low;Dry;No;Fighter type B;No
100386;59;No;No;2770;2;A1;Low;Wet;No;Passengers LD;No
100387;50;No;No;2345;2;A1;Low;Dry;No;Unknown;No
100388;48;No;No;4233;1;A1;Low;Wet;No;Tanker;No
100389;;No;No;1591;1;A1;Low;Normal;Yes;Tanker;No
100390;81;No;No;1647;2;C;Low;Wet;No;Helicopter;No
100391;56;No;No;2493;2;A1;Low;Normal;No;Fighter type C;No
100392;45;Yes;No;3345;2;A1;Normal;Normal;Yes;Cargo;No
100393;49;No;Yes;3666;2;A2;Normal;Wet;No;Other;No
100394;40;No;Yes;2188;1;C;Low;Normal;No;Cargo;No
100395;44;No;No;1959;1;A1;Normal;Wet;No;Other;No
100396;52;No;No;3069;1;A1;Low;Wet;Yes;Passengers SD;No
100397;38;Yes;Yes;2639;2;C;Low;Dry;Yes;Passengers LD;No
100398;39;Yes;No;2534;1;C;Low;Normal;No;Other;No
100399;78;Yes;No;1538;1;A2;Low;Normal;No;Turboprop;Yes
100400;58;No;No;4857;2;A2;Low;Dry;Yes;Passengers LD;No
100401;46;No;No;2475;2;D;Normal;Normal;No;Fighter type C;No
100402;27;No;No;1646;1;A1;Low;Normal;No;Fighter type B;No
100403;50;Yes;No;2282;2;A1;Normal;Dry;No;Passengers SD;No
100404;43;Yes;No;2473;2;A1;Low;Normal;No;Turboprop;No
100405;40;No;No;4240;1;D;Low;Dry;No;Passengers SD;No
100406;55;Yes;No;1589;;C;Low;Wet;No;Unknown;No
100407;31;No;No;2191;2;A2;Normal;Wet;No;Unknown;No
100408;45;No;No;2762;2;A1;Low;Dry;No;Tanker;No
100409;41;No;No;3244;2;C;Low;Normal;No;Fighter type C;No
100410;77;Yes;No;3808;2;D;Low;Normal;No;Fighter type C;No
100411;42;Yes;No;4509;1;;Low;Normal;No;Fighter type A;No
100412;80;Yes;;2710;1;;;Dry;Yes;Fighter type A;Yes
100413;65;No;Yes;2510;2;D;Low;Dry;No;Other;No
100414;46;No;No;3125;2;A2;Low;Wet;No;Passengers SD;Yes
100415;67;No;Yes;1638;2;C;Low;Wet;No;Passengers SD;No
100416;77;No;No;2911;1;A1;Low;Dry;No;Cargo;No
100417;33;No;No;2836;2;A1;Low;Normal;;Tanker;No
100418;68;Yes;No;2967;2;A1;Normal;Normal;No;Unknown;No
100419;36;No;No;1352;1;A1;Low;Wet;No;Passengers LD;No
100420;57;No;No;1802;2;;Low;Normal;No;Passengers LD;Yes
100421;31;No;No;2443;2;A1;Low;Dry;Yes;Passengers LD;No
100422;67;Yes;No;2341;2;A1;Low;Wet;No;Helicopter;No
100423;45;;Yes;3110;1;A2;Normal;Normal;Yes;Tanker;Yes
100424;34;Yes;Yes;4284;1;C;Normal;Normal;No;Fighter type C;No
100425;37;;Yes;6040;2;A1;Low;Wet;No;Fighter type C;No
100426;73;No;Yes;2553;1;C;Normal;;Yes;Turboprop;No
100427;49;Yes;Yes;2271;2;D;;Dry;Yes;Passengers SD;No
100428;51;Yes;Yes;2830;2;D;Low;Normal;No;Fighter type B;No
100429;20;No;No;3409;2;C;Low;Normal;No;Helicopter;No
100430;60;No;No;1869;2;A1;Normal;Dry;Yes;Tanker;No
100431;71;No;No;3001;1;D;Normal;Normal;No;Fighter type B;No
100432;76;No;Yes;1652;2;C;Normal;Dry;No;Fighter type C;No
100433;56;No;No;2188;2;C;Normal;Dry;Yes;Cargo;No
100434;57;Yes;Yes;3138;2;D;Low;Wet;No;Helicopter;No
100435;33;Yes;No;3940;2;C;Low;Dry;Yes;Tanker;No
100436;64;No;No;4336;1;D;Low;Dry;No;Fighter type C;No
100437;48;Yes;No;3077;1;A2;Normal;Dry;Yes;Other;No
100438;36;No;No;2610;1;C;Low;Dry;No;Helicopter;No
100439;48;No;No;2852;2;A2;Low;Wet;No;Other;No
100440;41;Yes;No;2514;1;A2;Low;Normal;No;Passengers LD;No
100441;40;No;Yes;2403;2;A1;Normal;Wet;No;Passengers SD;No
100442;52;No;No;4462;1;A1;Normal;Normal;Yes;Helicopter;No
100443;48;No;No;1256;1;A1;Normal;Normal;No;Cargo;No
100444;44;No;No;4095;2;C;Low;Dry;Yes;Fighter type A;No
100445;57;No;No;2820;1;A1;Normal;Normal;Yes;Cargo;No
100446;35;Yes;Yes;1697;2;C;Normal;Dry;No;Tanker;No
100447;31;No;Yes;1674;1;C;Normal;Normal;No;Turboprop;No
100448;43;Yes;No;2459;1;A2;Normal;Normal;No;Fighter type C;No
100449;18;No;No;2238;1;D;Low;Normal;No;Helicopter;No
100450;48;No;Yes;4074;1;;Low;Dry;Yes;Fighter type A;No
100451;56;No;No;2384;2;A1;Low;Wet;No;Turboprop;No
100452;35;Yes;No;2379;2;A1;Normal;Dry;No;Tanker;No
100453;63;No;No;1759;;A1;Low;Normal;;Fighter type B;Yes
100454;44;No;No;1967;;C;Normal;Wet;No;Passengers LD;No
100455;32;Yes;Yes;2367;1;B;Low;Wet;No;Tanker;No
100456;52;Yes;No;2552;1;D;Low;Normal;No;Tanker;No
100457;44;No;No;3659;2;C;Low;Wet;No;Fighter type C;No
100458;80;Yes;Yes;1531;1;B;Low;Normal;Yes;Passengers SD;No
100459;75;No;No;1910;1;A1;Low;Wet;No;Fighter type C;No
100460;56;No;Yes;3139;2;C;Normal;Dry;No;Fighter type C;No
100461;63;No;No;1892;2;A2;Low;Normal;Yes;Turboprop;No
100462;57;Yes;No;2531;2;C;Low;Normal;No;Fighter type A;No
100463;32;No;No;2159;1;A2;Normal;Normal;No;Tanker;No
100464;72;No;No;2995;2;D;Low;Wet;Yes;Other;No
100465;72;No;No;2056;1;A2;Low;Wet;Yes;Other;No
100466;46;Yes;No;2424;1;A1;Normal;Wet;Yes;Tanker;No
100467;39;No;No;2650;2;D;Low;Normal;Yes;Fighter type A;No
100468;63;Yes;Yes;3556;2;A1;Low;Dry;No;Turboprop;No
100469;29;Yes;No;1914;2;C;Normal;Dry;Yes;Fighter type A;No
100470;52;Yes;No;1994;1;A1;Normal;Wet;No;Unknown;No
100471;49;No;No;2737;1;C;Low;Normal;Yes;Passengers SD;No
100472;69;No;Yes;2365;1;A2;Low;Dry;Yes;Fighter type A;No
100473;65;No;Yes;2311;1;C;Low;Normal;No;Other;Yes
100474;57;Yes;Yes;2022;2;A2;Low;Dry;Yes;Fighter type B;No
100475;37;Yes;No;2134;2;A2;Low;Wet;No;Passengers SD;No
100476;69;No;No;2436;1;A1;Normal;Wet;Yes;Passengers LD;No
100477;48;No;No;3457;1;C;Normal;Dry;No;Passengers SD;No
100478;40;No;Yes;1812;2;A2;Low;Dry;Yes;Passengers SD;No
100479;42;No;Yes;5220;2;C;Low;Normal;No;Helicopter;No
100480;52;No;No;3645;2;C;Low;Normal;No;Fighter type C;No
100481;68;No;No;2617;;D;Low;Wet;Yes;Fighter type A;No
100482;37;Yes;Yes;5415;1;D;Low;Dry;No;Turboprop;No
100483;89;No;No;2406;1;A2;Normal;Dry;Yes;Unknown;Yes
100484;70;No;No;1615;1;A1;Normal;Normal;No;Helicopter;No
100485;25;No;Yes;5318;2;A1;Low;Wet;No;Tanker;No
100486;38;No;Yes;2491;2;C;Low;Wet;Yes;Other;No
100487;51;No;No;5238;2;C;Normal;Wet;No;Turboprop;No
100488;32;Yes;Yes;2106;2;D;Normal;Wet;Yes;Cargo;No
100489;44;No;No;4092;1;B;Low;Wet;No;Turboprop;No
100490;43;No;No;3709;2;D;Low;Wet;No;Fighter type A;No
100491;50;Yes;No;3152;1;C;Low;Normal;No;Fighter type C;No
100492;55;No;No;2468;2;C;Low;Wet;No;Unknown;Yes
100493;25;Yes;No;2914;1;D;Low;Wet;Yes;Fighter type B;No
100494;67;No;No;2803;1;C;Normal;Normal;No;Fighter type C;No
100495;60;No;Yes;3023;2;C;Low;Dry;No;Fighter type B;No
100496;60;No;No;2512;2;A2;Low;Normal;No;Fighter type C;Yes
100497;36;No;No;2407;2;A1;Low;Wet;No;Fighter type C;No
100498;64;No;No;2842;1;;Normal;Dry;No;Fighter type C;No
100499;36;No;Yes;2036;1;A2;Low;Dry;Yes;Other;No
100500;50;No;Yes;2758;2;C;Low;Dry;No;Other;No
100501;74;Yes;No;3470;;A2;Low;Dry;No;Fighter type A;No
100502;40;Yes;No;2643;;C;Low;Dry;No;Fighter type A;No
100503;51;No;Yes;2990;1;A2;Normal;Dry;Yes;Cargo;No
100504;64;No;Yes;1237;2;A2;Normal;Wet;No;Passengers SD;No
100505;66;Yes;No;1977;1;A2;Low;Wet;No;Tanker;Yes
100506;35;No;Yes;2667;2;A2;Normal;Dry;No;Other;No
100507;49;Yes;No;3669;1;C;Normal;Wet;No;Helicopter;No
100508;67;No;No;3489;2;C;Normal;Dry;No;Helicopter;No
100509;50;No;Yes;2404;2;D;Low;Dry;;Turboprop;No
