Code Client;Marque;Usage;CSP;Puissance;Valeur;Zone_tarif;Statut Marital;Permis;Garage;Age;Ancienneté;Ancienneté Contrat;Prime;Type Assurance;Fraude
1006675;Saab;Privé & trajet travail;Autres personnes sans activité professionnelle (APSAP);8;9;8;Célibataire;2005;Non;28,00;13,00;6,00;1712,46;Tous risques;Oui
1007010;Renault;Privé & trajet travail;Artisans, commerçants et chefs d’entreprise (ACCE);10;14;7;Inconnu;;Oui;;4,00;4,00;3836,23;Tous risques;Oui
1007042;Peugeot;Privé;Professions intermédiaires (PI);6;5;9;Célibataire;2002;Non;26,00;11,00;8,00;2187,19;Tous risques sérénité;Non
1007538;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);7;6;3;Marié;1987;Oui;44,00;4,00;14,00;580,37;Tiers;Non
1008094;Renault;Privé & trajet travail;Employés (E);7;7;2;Marié;1967;Non;76,00;9,00;28,00;877,80;Tous risques sérénité;Non
1009969;Volkswagen;Privé & trajet travail;Employés (E);6;7;7;Marié;1989;Oui;44,00;10,00;18,00;482,50;Tous risques;Non
1010805;Audi;Privé & Professionnel;Agriculteurs exploitants (AE);11;13;3;Célibataire;1996;Oui;37,00;11,00;5,00;928,72;Tiers;Non
1012885;Peugeot;Privé & trajet travail;Employés (E);5;4;6;Marié;1989;Non;44,00;19,00;4,00;266,02;Tous risques sérénité;Non
1008889;Alfa Romeo;Privé;Cadres et professions intellectuelles supérieures (CPIS);8;11;7;Marié;1995;Oui;;15,00;6,00;1711,55;Tiers;Oui
1011118;Peugeot;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);8;7;3;Marié;2000;Non;31,00;5,00;6,00;1184,22;Tous risques;Oui
1011717;Audi;Privé;Cadres et professions intellectuelles supérieures (CPIS);8;12;5;Inconnu;1991;Non;42,00;17,00;4,00;1261,06;Tous risques sérénité;Oui
1012379;Ford;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);5;4;8;Marié;1992;Oui;39,00;10,00;6,00;830,85;Tous risques;Oui
1012975;Peugeot;Privé;Cadres et professions intellectuelles supérieures (CPIS);6;5;5;Marié;1999;Non;37,00;10,00;4,00;483,42;Tous risques;Non
1013306;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);3;3;5;Marié;1966;Oui;64,00;12,00;11,00;456,89;Tous risques;Non
1013347;Renault;Privé & trajet travail;Employés (E);9;8;3;Inconnu;2002;Oui;43,00;11,00;7,00;1510,16;Tous risques;Oui
1013757;Saab;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);5;5;5;Inconnu;1997;Non;36,00;6,00;15,00;1590,20;Tous risques sérénité;Oui
1014149;Peugeot;Privé & trajet travail;Autres personnes sans activité professionnelle (APSAP);4;3;3;Célibataire;2005;Oui;25,00;8,00;7,00;2461,29;Tiers;Oui
1014350;Fiat;Privé & trajet travail;Employés (E);6;8;5;Marié;1985;Oui;51,00;16,00;12,00;458,41;Tous risques;Non
1014634;Renault;Privé & trajet travail;Employés (E);8;7;2;Marié;1983;Oui;47,00;10,00;6,00;721,54;Tous risques;Non
1014982;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);7;8;3;Marié;1987;Oui;45,00;15,00;5,00;398,65;Tous risques;Non
1015450;Mercedes-Benz;Privé & trajet travail;Employés (E);8;6;5;Célibataire;2001;Non;31,00;8,00;6,00;2105,02;Tous risques;Oui
1015580;Volkswagen;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);7;7;3;Marié;1987;Oui;59,00;6,00;11,00;603,85;Tous risques;Non
1015840;Renault;Privé;Retraités  (R);8;9;4;Inconnu;1978;Non;65,00;19,00;13,00;659,80;Tous risques;Non
1017574;Ford;Privé & Professionnel;Cadres et professions intellectuelles supérieures (CPIS);9;12;5;Inconnu;;Non;;4,00;4,00;1902,87;Tiers;Non
1018460;Citroën;Privé & trajet travail;Employés (E);10;12;2;Célibataire;2004;Oui;28,00;14,00;5,00;1187,73;Tous risques sérénité;Oui
1032369;Peugeot;Privé & Professionnel;Agriculteurs exploitants (AE);6;8;5;Marié;1972;Oui;83,00;19,00;6,00;441,49;Tous risques;Non
1032758;Renault;Privé & trajet travail;Employés (E);5;4;;Célibataire;1984;Oui;47,00;6,00;6,00;589,06;Tiers;Non
1021180;Renault;Privé & Professionnel;Cadres et professions intellectuelles supérieures (CPIS);10;13;8;Marié;1980;Oui;51,00;7,00;5,00;2029,10;Tous risques;Non
1021291;Renault;Privé & Professionnel;Agriculteurs exploitants (AE);4;3;1;Marié;1995;Oui;36,00;11,00;10,00;266,02;Tous risques sérénité;Non
1021915;Peugeot;Privé & trajet travail;Ouvriers (O);5;5;7;Marié;1984;Non;61,00;14,00;11,00;344,23;Tiers;Non
1022214;Alfa Romeo;Privé & Professionnel;Artisans, commerçants et chefs d’entreprise (ACCE);9;11;3;Marié;1988;Oui;43,00;10,00;11,00;901,28;Tous risques;Non
1022521;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);7;6;6;Célibataire;2003;Non;30,00;8,00;4,00;2257,31;Tous risques;Oui
1023044;Mercedes-Benz;Privé;Cadres et professions intellectuelles supérieures (CPIS);6;6;4;Marié;1969;Non;65,00;5,00;12,00;685,41;Tous risques;Non
1023315;Chrysler;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);7;7;6;Marié;1974;Non;60,00;21,00;24,00;337,83;Tiers;Non
1023556;Peugeot;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);6;6;5;Marié;1993;Oui;42,00;11,00;7,00;888,78;Tous risques sérénité;Oui
1024849;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);8;8;5;Marié;1992;Non;42,00;8,00;7,00;1235,45;Tous risques;Non
1025055;Peugeot;Privé;Retraités  (R);10;10;3;Inconnu;1966;Oui;70,00;5,00;17,00;894,42;Tiers;Non
1025068;Citroën;Privé & Professionnel;Artisans, commerçants et chefs d’entreprise (ACCE);5;5;5;Marié;1995;Oui;37,00;10,00;4,00;1521,90;Tous risques;Oui
1026037;Fiat;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);4;4;3;Marié;1992;Oui;54,00;15,00;14,00;238,89;Tiers;Non
1026682;Peugeot;Privé & trajet travail;Artisans, commerçants et chefs d’entreprise (ACCE);6;7;3;Célibataire;1998;Non;34,00;13,00;4,00;759,35;Tous risques sérénité;Non
1027341;Citroën;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);2;2;3;Marié;1999;Non;32,00;17,00;6,00;326,24;Tiers;Oui
1027439;Citroën;Privé;Retraités  (R);9;10;3;Marié;1970;Non;71,00;5,00;31,00;1162,12;Tous risques sérénité;Non
1027976;Citroën;Privé & Professionnel;Agriculteurs exploitants (AE);6;5;3;Célibataire;1970;Oui;76,00;5,00;25,00;987,26;Tous risques sérénité;Oui
1028398;Renault;Privé;Retraités  (R);7;6;5;Marié;1978;Non;67,00;8,00;5,00;837,25;Tous risques;Non
1028434;Peugeot;Privé;Retraités  (R);6;5;10;Marié;1978;Oui;63,00;6,00;11,00;1002,05;Tiers;Non
1030476;Citroën;Privé;Retraités  (R);3;4;7;Marié;1967;Non;68,00;15,00;10,00;370,76;Tous risques;Non
1028116;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);4;3;5;Célibataire;2002;Non;29,00;12,00;4,00;667,88;Tous risques sérénité;Oui
1028336;Fiat;Privé;Cadres et professions intellectuelles supérieures (CPIS);8;9;5;Marié;1988;Oui;43,00;11,00;6,00;407,19;Tous risques;Non
1029904;Citroën;Privé;Cadres et professions intellectuelles supérieures (CPIS);11;18;5;Célibataire;2001;Non;30,00;4,00;4,00;5564,08;Tous risques;Non
1030199;Citroën;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);3;2;3;Marié;1998;Oui;32,00;8,00;6,00;493,93;Tous risques;Oui
1030609;Peugeot;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);6;5;4;Célibataire;1998;Non;32,00;9,00;8,00;478,99;Tous risques sérénité;Non
1030970;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);4;3;4;Marié;1999;Non;37,00;8,00;9,00;716,51;Tiers;Oui
1032181;Volkswagen;Privé & Professionnel;Cadres et professions intellectuelles supérieures (CPIS);9;12;4;Marié;1993;Oui;37,00;4,00;6,00;2312,35;Tous risques;Non
1032534;Fiat;Privé & trajet travail;Artisans, commerçants et chefs d’entreprise (ACCE);8;9;9;Marié;1992;Oui;43,00;11,00;6,00;693,80;Tous risques;Non
1034201;Peugeot;Privé & Professionnel;Cadres et professions intellectuelles supérieures (CPIS);6;4;2;Inconnu;;Non;;7,00;5,00;991,83;Tous risques sérénité;Non
1034954;Renault;Privé & trajet travail;Artisans, commerçants et chefs d’entreprise (ACCE);7;6;5;Marié;2000;Oui;49,00;7,00;7,00;977,05;Tous risques;Non
1034981;Citroën;Privé & Professionnel;Cadres et professions intellectuelles supérieures (CPIS);5;5;5;Inconnu;;Non;;6,00;9,00;1182,24;Tous risques sérénité;Non
1035055;Renault;Privé;Professions intermédiaires (PI);6;6;2;Marié;1980;Non;76,00;11,00;11,00;622,75;Tous risques sérénité;Non
1035604;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);5;3;5;Célibataire;2002;Non;28,00;4,00;10,00;1199,01;Tous risques;Oui
1035711;Peugeot;Privé;Cadres et professions intellectuelles supérieures (CPIS);7;5;2;Marié;1986;Oui;45,00;5,00;6,00;718,03;Tous risques;Non
1037092;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);7;7;5;Célibataire;2003;Non;29,00;9,00;7,00;2188,86;Tous risques;Oui
1079499;Peugeot;Privé & Professionnel;Professions intermédiaires (PI);6;4;3;Inconnu;;Non;;7,00;10,00;1466,25;Tiers;Non
1080203;Ford;Privé & trajet travail;Employés (E);7;9;6;Marié;1983;Non;55,00;5,00;5,00;1192,61;Tiers;Non
1080429;Autres;Privé;Cadres et professions intellectuelles supérieures (CPIS);11;18;8;Marié;1984;Oui;48,00;12,00;5,00;3539,87;Tous risques;Oui
1037251;Citroën;Privé & Professionnel;Artisans, commerçants et chefs d’entreprise (ACCE);5;4;3;Marié;1973;Oui;59,00;9,00;13,00;701,42;Tiers;Non
1038181;Citroën;Privé & Professionnel;Ouvriers (O);8;8;2;Marié;1964;Non;72,00;10,00;16,00;2671,97;Tous risques sérénité;Non
1038235;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);10;13;7;Marié;1981;Non;49,00;8,00;18,00;2011,11;Tiers;Non
1038740;Peugeot;Privé & Professionnel;Cadres et professions intellectuelles supérieures (CPIS);6;7;2;Marié;1966;Non;68,00;18,00;36,00;363,74;Tous risques sérénité;Non
1038903;Citroën;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);8;9;3;Marié;1991;Oui;56,00;10,00;5,00;830,39;Tous risques sérénité;Non
1039137;Peugeot;Privé;Retraités  (R);7;7;3;Inconnu;1968;Oui;82,00;4,00;14,00;802,95;Tous risques sérénité;Non
1039172;Fiat;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);9;12;5;Marié;1986;Oui;52,00;5,00;16,00;1107,39;Tous risques;Non
1039270;Chrysler;Privé;Cadres et professions intellectuelles supérieures (CPIS);11;15;5;Marié;1989;Non;44,00;6,00;7,00;3106,00;Tous risques;Oui
1039488;Ford;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);5;5;5;Divorcé;1994;Non;36,00;6,00;4,00;558,27;Tous risques;Non
1041819;Alfa Romeo;Privé;Retraités  (R);9;12;3;Marié;1980;Oui;61,00;8,00;4,00;869,57;Tous risques;Non
1041893;Peugeot;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);4;2;8;Marié;1973;Non;60,00;24,00;4,00;381,88;Tiers;Non
1042583;Ford;Privé;Employés (E);8;9;3;Marié;1986;Oui;50,00;7,00;8,00;631,29;Tous risques;Non
1042728;Saab;Privé;Professions intermédiaires (PI);10;11;5;Divorcé;1967;Non;73,00;8,00;8,00;1277,37;Tous risques sérénité;Non
1042938;Renault;Privé & trajet travail;Employés (E);4;3;2;Marié;1976;Non;59,00;12,00;14,00;294,23;Tous risques;Non
1043211;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);7;6;2;Marié;2002;Oui;28,00;6,00;5,00;1158,31;Tous risques sérénité;Oui
1044922;Ford;Privé & Professionnel;Employés (E);6;7;10;Célibataire;1984;Non;61,00;4,00;12,00;1836,40;Tiers;Oui
1044923;Peugeot;Privé & Professionnel;Ouvriers (O);5;5;3;Marié;1975;Oui;69,00;12,00;13,00;627,18;Tous risques;Non
1044951;Renault;Privé & trajet travail;Employés (E);8;7;5;Marié;1983;Oui;48,00;8,00;17,00;956,01;Tous risques;Non
1045166;Peugeot;Privé & trajet travail;Employés (E);6;6;7;Célibataire;1992;Oui;38,00;8,00;6,00;500,34;Tous risques;Non
1045240;Peugeot;Privé;Professions intermédiaires (PI);7;6;4;Célibataire;2002;Non;30,00;12,00;10,00;1309,08;Tiers;Oui
1045413;Peugeot;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);5;5;2;Marié;1986;Non;45,00;9,00;12,00;710,72;Tous risques sérénité;Non
1045581;Renault;Privé & Professionnel;Artisans, commerçants et chefs d’entreprise (ACCE);4;4;3;Marié;1980;Non;51,00;13,00;6,00;577,48;Tous risques;Non
1045616;Fiat;Privé & Professionnel;Ouvriers (O);7;12;4;Inconnu;1989;Non;;5,00;5,00;1232,25;Tiers;Non
1045719;Peugeot;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);3;4;3;Marié;1992;Oui;41,00;16,00;12,00;300,32;Tous risques;Non
1045962;Chrysler;Privé & trajet travail;Employés (E);10;15;6;Marié;1999;Oui;45,00;10,00;11,00;998,85;Tous risques sérénité;Oui
1046968;Saab;Privé & trajet travail;Employés (E);5;11;6;Inconnu;1998;Oui;;15,00;6,00;457,19;Tous risques sérénité;Oui
1047313;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);3;5;2;Marié;1998;Non;33,00;17,00;14,00;371,06;Tous risques;Non
1047913;Fiat;Privé;Retraités  (R);5;5;7;Marié;1975;Oui;64,00;5,00;8,00;572,45;Tous risques sérénité;Non
1048115;Volkswagen;Privé;Cadres et professions intellectuelles supérieures (CPIS);6;5;7;Marié;1995;Oui;40,00;10,00;5,00;627,18;Tous risques sérénité;Non
1048827;Ford;Privé & trajet travail;Autres personnes sans activité professionnelle (APSAP);7;7;6;Célibataire;2004;Oui;27,00;7,00;5,00;1961,26;Tous risques;Oui
1048920;Renault;Privé & Professionnel;Artisans, commerçants et chefs d’entreprise (ACCE);5;5;2;Marié;2001;Oui;30,00;7,00;4,00;958,14;Tiers;Non
1050315;Citroën;Privé;Professions intermédiaires (PI);6;6;2;Marié;1998;Oui;36,00;39,00;4,00;334,63;Tous risques;Oui
1050351;Renault;Privé;Professions intermédiaires (PI);10;11;2;Marié;1972;Oui;58,00;12,00;8,00;360,54;Tous risques;Non
1051063;Citroën;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);6;5;5;Marié;1978;Non;52,00;8,00;4,00;965,92;Tiers;Non
1051274;Porsche;Privé & Professionnel;Artisans, commerçants et chefs d’entreprise (ACCE);7;7;3;Marié;1977;Oui;53,00;9,00;5,00;1163,34;Tous risques;Non
1051313;Renault;Privé & Professionnel;Artisans, commerçants et chefs d’entreprise (ACCE);3;4;4;Marié;1972;Oui;64,00;7,00;21,00;455,21;Tous risques;Non
1051601;Renault;Privé & Professionnel;Agriculteurs exploitants (AE);7;7;3;Célibataire;1977;Oui;57,00;15,00;4,00;163,58;Tous risques;Non
1052459;Peugeot;Privé;Employés (E);6;5;4;Marié;1975;Oui;59,00;7,00;10,00;638,76;Tiers;Non
1052929;Citroën;Privé;Professions intermédiaires (PI);1;2;3;Marié;1997;Non;33,00;25,00;6,00;133,24;Tous risques;Non
1053048;Renault;Privé & Professionnel;Agriculteurs exploitants (AE);5;4;5;Marié;2000;Oui;33,00;8,00;5,00;691,81;Tiers;Oui
1052416;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);6;8;3;Marié;1991;Oui;41,00;15,00;9,00;524,12;Tous risques;Non
1052811;Ford;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);7;8;5;Marié;1997;Oui;33,00;6,00;7,00;711,63;Tous risques;Non
1053690;Renault;Privé & trajet travail;Employés (E);6;5;3;Célibataire;1989;Non;42,00;12,00;5,00;320,14;Tous risques sérénité;Non
1053761;Fiat;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);6;12;4;Célibataire;1999;Oui;34,00;15,00;7,00;623,97;Tous risques;Non
1054354;Peugeot;Privé & Professionnel;Agriculteurs exploitants (AE);4;4;5;Marié;1971;Oui;73,00;19,00;21,00;262,52;Tous risques;Non
1054506;Renault;Privé;Retraités  (R);8;11;2;Marié;1987;Non;42,00;12,00;7,00;832,07;Tous risques;Non
1055183;Peugeot;Privé & trajet travail;Autres personnes sans activité professionnelle (APSAP);7;7;6;Célibataire;2006;Oui;28,00;7,00;6,00;4003,46;Tous risques;Oui
1055344;Fiat;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);5;8;5;Marié;1992;Non;47,00;15,00;8,00;845,18;Tous risques sérénité;Non
1055891;Ford;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);7;9;2;Marié;1993;Oui;38,00;8,00;8,00;882,68;Tiers;Non
1057145;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);9;10;5;Marié;1984;Oui;51,00;6,00;15,00;1573,88;Tous risques sérénité;Non
1057861;Citroën;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);7;9;2;Marié;1984;Oui;47,00;8,00;15,00;661,78;Tiers;Non
1057895;Fiat;Privé & trajet travail;Employés (E);8;8;4;Marié;1998;Non;35,00;8,00;4,00;703,70;Tous risques;Non
1058339;Renault;Privé & Professionnel;Ouvriers (O);2;3;2;Marié;1985;Oui;45,00;16,00;6,00;202,91;Tous risques sérénité;Non
1058543;Renault;Privé;Cadres et professions intellectuelles supérieures (CPIS);3;4;2;Marié;1996;Non;36,00;21,00;4,00;238,58;Tiers;Non
1058587;Renault;Privé & Professionnel;Agriculteurs exploitants (AE);3;5;2;Marié;1974;Non;61,00;17,00;12,00;761,03;Tiers;Non
1058801;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);6;6;2;Célibataire;1996;Oui;38,00;22,00;5,00;463,29;Tous risques;Oui
1058894;Peugeot;Privé & Professionnel;Agriculteurs exploitants (AE);6;6;3;Marié;1981;Non;61,00;11,00;9,00;385,09;Tiers;Non
1059920;Renault;Privé;Professions intermédiaires (PI);5;3;3;Marié;1991;Oui;54,00;4,00;4,00;636,17;Tous risques;Non
1078975;Fiat;Privé;Retraités  (R);4;4;3;Marié;1993;Non;39,00;12,00;7,00;648,67;Tous risques sérénité;Non
1059944;Renault;Privé & Professionnel;Artisans, commerçants et chefs d’entreprise (ACCE);3;3;8;Inconnu;;Non;;10,00;11,00;524,12;Tous risques sérénité;Non
1060002;Renault;Privé;Professions intermédiaires (PI);5;6;7;Marié;1977;Oui;53,00;15,00;5,00;511,31;Tous risques sérénité;Non
1060249;Peugeot;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);8;7;7;Marié;1991;Non;42,00;9,00;4,00;421,98;Tiers;Non
1060660;Ford;Privé;Retraités  (R);6;10;4;Marié;1960;Oui;72,00;12,00;28,00;273,04;Tous risques sérénité;Non
1061023;Citroën;Privé;Retraités  (R);11;13;2;Marié;1992;Non;71,00;4,00;15,00;1141,69;Tous risques;Non
1061419;Saab;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);10;12;5;Marié;1984;Oui;46,00;8,00;4,00;1515,95;Tous risques;Non
1062100;Renault;Privé & Professionnel;Ouvriers (O);7;6;4;Célibataire;1989;Non;42,00;6,00;22,00;1243,07;Tous risques;Non
1062362;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);6;5;5;Marié;2003;Oui;35,00;5,00;6,00;1825,12;Tiers;Non
1062384;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);7;8;2;Marié;1998;Oui;33,00;15,00;7,00;698,22;Tous risques;Non
1062610;Ford;Privé & Professionnel;Cadres et professions intellectuelles supérieures (CPIS);8;10;3;Célibataire;2000;Oui;29,00;7,00;6,00;1943,88;Tiers;Oui
1063906;Renault;Privé & Professionnel;Professions intermédiaires (PI);8;8;9;Célibataire;1994;Oui;39,00;5,00;6,00;2791,65;Tous risques sérénité;Non
1063981;Renault;Privé & Professionnel;Agriculteurs exploitants (AE);4;3;2;Marié;1967;Oui;30,00;9,00;12,00;429,30;Tous risques;Non
1064771;Fiat;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);10;11;4;Marié;1993;Oui;45,00;14,00;5,00;1043,06;Tous risques;Non
1064891;Citroën;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);6;5;5;Marié;1987;Oui;43,00;11,00;5,00;662,70;Tous risques;Non
1065014;Citroën;Privé & Professionnel;Agriculteurs exploitants (AE);7;6;3;Marié;1954;Oui;76,00;6,00;6,00;407,50;Tous risques;Non
1065135;Peugeot;Privé & Professionnel;Cadres et professions intellectuelles supérieures (CPIS);11;12;;Marié;1969;Oui;64,00;5,00;10,00;2213,41;Tous risques;Non
1066359;Citroën;Privé;Professions intermédiaires (PI);1;2;6;Marié;1982;Non;57,00;25,00;11,00;461,92;Tous risques;Oui
1069495;Renault;Privé & trajet travail;Professions intermédiaires (PI);4;5;3;Célibataire;1991;Non;47,00;19,00;9,00;386,76;Tiers;Non
1071845;Citroën;Privé & trajet travail;Employés (E);6;5;2;Marié;1992;Non;38,00;18,00;6,00;225,78;Tiers;Non
1073265;Toyota;Privé;Retraités  (R);11;18;3;Marié;1961;Oui;74,00;4,00;21,00;3278,26;Tous risques sérénité;Non
1065150;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);9;10;3;Marié;1998;Oui;34,00;12,00;4,00;624,58;Tiers;Oui
1066238;Ford;Privé & Professionnel;Cadres et professions intellectuelles supérieures (CPIS);6;9;6;Inconnu;;Non;;10,00;4,00;665,59;Tiers;Non
1066920;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);7;10;3;Marié;1981;Oui;50,00;14,00;5,00;987,26;Tous risques sérénité;Non
1068253;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);2;3;2;Célibataire;1996;Non;34,00;16,00;12,00;257,33;Tous risques sérénité;Non
1068697;Fiat;Privé & Professionnel;Artisans, commerçants et chefs d’entreprise (ACCE);7;16;5;Célibataire;1997;Non;36,00;17,00;15,00;1064,86;Tiers;Oui
1072785;Peugeot;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);4;2;2;Marié;1993;Oui;36,00;8,00;5,00;636,47;Tous risques sérénité;Oui
1074096;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);2;2;2;Marié;1973;Oui;58,00;23,00;4,00;93,15;Tous risques;Non
1075955;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);4;2;2;Célibataire;2000;Non;33,00;10,00;7,00;795,94;Tous risques;Oui
1076233;Toyota;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);11;15;4;Marié;1997;Oui;44,00;12,00;9,00;1574,19;Tiers;Non
1076303;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);5;8;5;Marié;1994;Oui;37,00;11,00;14,00;815,14;Tous risques;Non
1079459;Renault;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);7;7;5;Marié;1983;Oui;48,00;5,00;10,00;658,88;Tous risques;Non
1080661;BMW;Privé & trajet travail;Employés (E);5;5;7;Célibataire;1992;Non;40,00;5,00;9,00;971,25;Tous risques sérénité;Non
1080690;Audi;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);9;9;3;Célibataire;2005;Non;40,00;10,00;7,00;1077,66;Tiers;Non
1080871;Renault;Privé & trajet travail;Employés (E);6;6;;Marié;2004;Non;34,00;26,00;5,00;645,47;Tous risques;Oui
1081590;Citroën;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);3;4;3;Célibataire;2000;Non;30,00;18,00;5,00;1054,95;Tous risques;Oui
1082327;Chrysler;Privé;Retraités  (R);11;18;3;Marié;1965;Oui;68,00;5,00;5,00;4106,21;Tous risques;Non
1157672;Renault;Privé;Retraités  (R);6;5;3;Marié;1949;Oui;82,00;5,00;4,00;573,06;Tous risques;Non
1160887;Saab;Privé;Retraités  (R);8;8;7;Marié;1972;Oui;71,00;4,00;6,00;895,18;Tous risques;Non
1161791;Renault;Privé;Professions intermédiaires (PI);6;7;2;Célibataire;2002;Oui;31,00;18,00;5,00;368,16;Tous risques sérénité;Oui
1083124;Peugeot;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);6;5;4;Marié;2002;Oui;29,00;11,00;4,00;436,00;Tiers;Oui
1083343;Peugeot;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);8;9;4;Célibataire;1993;Non;37,00;5,00;5,00;1600,41;Tous risques sérénité;Non
1083403;Volkswagen;Privé & trajet travail;Cadres et professions intellectuelles supérieures (CPIS);7;10;5;Marié;1988;Non;46,00;13,00;13,00;563,15;Tiers;Non
