ID;Age;Gender;Comments
30;25-34;Female;It's portable and the device is well-designed. You Have To Shut Down The Device By Holding Down The Pause Button. This Isn't Intuitive And Doesn't Work As Smoothly As I Would Like. I'd Prefer An Old-Fashioned On And Off Button.
33;45-54;Male;It is better than having a lot of CDs in the car. I can hook this up to my stereo and get lots of tunes. Nothing.
35;25-34;Female;Small, easy to sync. Scratches Easily.
36;45-54;Male;It has great sound quality. It also has capacity for all my music. The Cost Is The Worst Part. It Makes It Difficult To Upgrade.
37;18-24;Male;Holds lots of music. Needs A Longer Battery Life.
39;45-54;Male;Easy to download music and runs a long time without recharging. Proprietary Music Format.
40;<18;Female;Tunes everywhere. Nothing, It's Awesome.
41;25-34;Female;It's easy to use. It's Really Easy To Turn It On By Accident And Run The Battery Down.
42;25-34;Male;The interface is incredibly easy to use. Compared To Newer Devices, The Number Of Songs It Can Hold Is Quite Small.
43;>54;Male;It holds many songs. Uploading Songs Is Too Slow.
45;18-24;Male;Everything!  Product A rules!  I can't wait to get a video one!. Nothing!  It Is Better Than Anything Else Out There!.
46;25-34;Female;Ability to carry large amounts of music in a small, lightweight device. Cost.
47;45-54;Male;I was worried I was too old for this new fang-dangled technology. But my nephew showed me around the farm, as it were, and it's not as hard to use as I thought it would be. It's So Light, Light As A Feather, That I Once Accidently Left It In My Trousers And They Both Went Into The Wash!.
48;25-34;Male;Ease of use. Could Be Smaller Like Product A.
50;25-34;Female;Portability. Battery Life.
52;35-44;Male;I have a Product A. i like the small size and good sound. Lack Of A Screen.
53;35-44;Male;Convenience. Nothing.
54;18-24;Female;The ability to take my CD collection and have it in one simple, small, portable device. It Was Slightly Confusing To Set-Up.
55;25-34;Female;I can store a lot of music on it. It Was Rather Expensive.
56;25-34;Female;Small, light-weight, and easy to bring along. Limited Space For Songs. Not Expandable.
59;25-34;Male;It allows me the freedom to listen to my favorite music or programs on my terms. Makes my commute enjoyable. It Has No Radio.
60;>54;Male;Ability to carry a huge library of tunes aorund with me in something the size of a credit card. Interface With My Pc, Which Doesn't Always Work And Which Requires You Be Very Careful To Ensure You Don't Accidentally Remove Music From The Device.
62;25-34;Male;Looks cool. Can't Rip Songs From It.
63;18-24;Female;It keeps playing. i don't have to stop and change a CD. Nothing.
64;25-34;Female;Portability and intuitive features of Product A. Loss Of Fidelity Due To Data Compression.
65;35-44;Female;"Music choice; lack of skipping (vs. CD players). Battery Life Is Too Short."
68;18-24;Female;Large storage capacity. Expensive Compared To Other Manufacturers.
69;35-44;Male;Stores 5000 songs in a compact portable player. Low Battery Life.
70;>54;Male;Small. Hard To Rearrange Play List On The Device.
71;35-44;Male;Ease of use, simple functionality, elegant design and that it holds a lot of music and goes anywhere I do, headphones, car, home stero, portable speakers. The Screen.
73;45-54;Female;Its design is way cool. Would Be Great If It Was Not So Expensive.
77;25-34;Male;The software is very cool. Battery.
79;45-54;Female;I like that I can build a bank of music that suits my tastes and cut out all of the songs that often come on Cds along with the one song you like. You Can't Use Standard Batteries In It.
82;35-44;Male;Small, handy device. Too Costly Still.
84;25-34;Male;It's just great. I have all my music downloaded onto it now, so no need to find the CD I want to play etc. Really great. Too Costly.
85;35-44;Female;Good quality sound, easy to carry. Battery Goes Dead Quite Fast.
87;25-34;Female;Its great look and easy to use interface. Battery Life Is Not As Good As It Should Be.
89;35-44;Female;Small but lots of space (60 GB). Video is a bit of a toy but cool. Software Is Not Great. Can Only View All Songs, Not Close Sections Up So You Can View Just Albums Or Artists. Can Only Order Items Alphabetically.
90;25-34;Female;The colour and size. Nothing.
93;25-34;Male;It's a portable music device. Battery Life. They're Are Better Players On The Market.
95;45-54;Female;It's beautiful. Have To Charge It.
96;<18;Female;Its tiny and can hold lots of songs and photos. It Is Too Expensive.
99;35-44;Male;Stores 2 days worth of music. Short Battery Life.
103;18-24;Male;Its good looking and easy to use. Battery Life Is Appalling, Also Ear Phones Aren't Very Good.
104;25-34;Male;Easy to organise my music files. Good battery life. The Distinctive Earphones Are A Magnet For Muggers.
106;45-54;Male;Its so small and cute. Too Many Cables And Things Hanging Around My Ears.
108;>54;Female;It's well designed, light and very easy to use. The Battery Life Could Be Better.
110;<18;Male;It's lightweight, the battery life is very good, cool design. It Sometimes Freezes.
116;25-34;Male;Ease of use. Looks good. Compatible with car stereo. Was More Expensive Than Other Players.
117;35-44;Female;Listening to any songs I like any time I like. The Batteries.
118;25-34;Female;I can listen to where ever I am, I don't have to worry about which Cd to take etc have all my music on it so listen to what I like when I like. Also I like the fact that I can plug it into speakers. Takes Time To Upload Music From Cd's.
119;25-34;Female;It looks good and is very easy to use. Headphones Hurt My Ear After A While.
123;25-34;Male;It's sound. It's Not Also A Phone.
124;25-34;Female;Size and accessories. Controls Not Always Easy To Manage.
126;45-54;Female;It's so easy to find the music I like. Earphones Are A Bit Uncomfortable.
128;25-34;Female;It's small and holds all of my music. Nothing.
129;18-24;Female;Size. Battery Life.
130;25-34;Female;Ease of use and portability. Battery Needs To Be Well-Charged.
135;<18;Male;How easy it was to use. The Headphones.
139;18-24;Female;I love it. I can listen to old heavy metal and new metal and alternative. Its batteries last for days. Nothing!.
140;45-54;Male;Controls are easy to understand and use. It's a well-designed, well-built unit. Battery Life Is Not Quite As Advertized.
142;25-34;Female;Easy to carry, and its size. Nothing As Such.
144;45-54;Female;The size makes it convenient to carry around. Don't Have Any Complaints.
147;18-24;Female;"I like the skip-free playback. Also, dragging and dropping songs. It's better than a ""real"" stereo. Battery Life Is Too Low. 12 Hours Sounds Like A Lot But It Is Not."
148;<18;Male;The online store is great. Also, sound quality is excellent. Four Hour Charge Time Too Long.
149;>54;Male;My son bought it for me for my birthday. I feel pretty hip. I like to listen to Mozart when I'm gardening. I love it's light weight. And the design is so sleek!. Display Is Hard To Read. My Senior Eyes Need A Bigger Dispay.
153;25-34;Male;Product A is fantastic. Really sharp design. Headphones are great too, not like the old in-the-ear types that always fell out. Sound quality seems good as well. Don't Like The Company.
154;25-34;Female;I like that it's light. I use it while commuting and when running. I really like the random play option. Price.
155;25-34;Female;Small size and ease of use. Sometimes Crashes.
157;35-44;Male;Huge selection of music at my fingertips when traveling. like bringing your whole stereo with you. Compromise On The Sound Quality Vs. A Real Cd.
158;35-44;Female;I like that it's small and I can take it anywhere with me. Also that it holds so many songs. I currently have almost 500. .
161;<18;Male;Product A is the best. Drag & drop songs from their site is really easy and I love all the random play options. Like the long battery life. Hard Drive Is Too Small.
165;25-34;Female;Convience, size. Plain Looking.
168;25-34;Female;It like has all of my songs. i mean all of them, and it still has room for like a gazillion more. I Hate That I Have To Load All These Song Onto It, You Would Think That They Could Just Put Your Music On For You.
169;35-44;Female;. I Am Not A Fan Of The Company.
172;35-44;Female;It is portable and compact. No CDs required any longer. Low Battery.
173;25-34;Male;User friendliness. Proprietary Plugs And Software.
174;25-34;Male;Practical and fancy!. Nothing!.
175;>54;Male;Music in a single place. Not Very Reliable. Battery Is Too Low.
179;25-34;Male;Room for lots of songs, sleek design, software for managing the music on your PC is the best. Battery Life, Incompatibility With Some Popular Music Formats.
182;>54;Male;Quality sound. It's Shape.
183;25-34;Female;I can listen anywhere and I can plug into my speaker system. It is small and i can play music during dinner with friends without having a huge sound system in my dining room. I Wish It Was Silver So It Would Be Even Less Conspicuous.
186;35-44;Male;Great sound quality. Nothing. Its Cool.
188;>54;Female;The photo feature. I can see my slideshows on it. It Synchonizes With My Computer Very Slowly.
193;35-44;Female;Ease of use, design. I Only Have A 4 Gb. Should Have Gotten A Bigger One.
194;35-44;Male;Capacity. Weight.
196;<18;Male;Small. High Price.
197;<18;Male;The sound quality is killer and it holds all of my CDs. It Needs A Better Protective Case Than The One Provided With It. I'm Always Dropping It.
199;18-24;Male;The playlist feature so I can make my own playlists for our bashes. Not Enough Room For All My Music. I Need A Huge Amount Of Space For All My Tunes.
200;25-34;Female;Its pretty green color. The Earbuds Are Uncomfortable.
201;18-24;Male;It rocks. I can download music from the internet. I Wish It Had Longer Battery Life.
204;25-34;Male;I can load all my favorites and never run out of music. Since it has so much space I can load new tunes without having to remove some of my previous music. I have my whole library of music with me at all times. I Wish I Could Have Videos Of My Favorites Along With My Music.
206;35-44;Male;Easy to transport all my music. Not Reliable. We Have 4 And All Of Them Had To Be Replaced.
207;>54;Female;The design. Need To Change Batteries All The Time.
214;35-44;Male;It is reliable. I Want It To Be Smaller.
217;45-54;Female;All of my music fits on it. All Of The Necessary Accessories Do Not Come With It And They Are Very Expensive.
218;>54;Male;Capacity to hold a lot of music, ease of use, cool earbud. Too Expensive, Sound Quality Could Be Better, Color.
222;18-24;Male;It is small and light so I forget I'm carrying it. It Broke The Bank.
223;25-34;Female;Storage capacity. Expensive.
226;<18;Male;Its cool. Nothing.
227;35-44;Female;It's small but holds lots of music. It Was Kind Of Expensive.
228;25-34;Female;Large storage capacity. Short Battery Time And Long Recharge Time.
230;45-54;Female;I can wear it while I am exercising because it is so small. The Battery Does Not Last Very Long Anymore And I Can't Replace It.
231;35-44;Female;It can hold all of my child's music. Where ever we are, when my son gets cranky, I can pull it out and in no time he is chilled out. Its Accessories Cost An Arm And A Leg.
233;25-34;Female;It's small and light. The Batteries Don't Last As Long As I'd Like.
238;25-34;Female;Style and ease of use. Battery And Tends To Scratch Easily.
239;35-44;Male;Small size and large capacity. Short Time Between Recharges.
240;<18;Male;Headphones are good lost of songs. Battery Is Lousy.
243;35-44;Male;Its size. The Cost.
244;25-34;Male;It is easy to use and I like the look of it. It Is Quite Expensive To Buy.
246;<18;Female;It holds lots of songs. Its So Small, I Can Never Find It.
247;18-24;Male;It's blue. Want A Newer One.
250;>54;Male;Small enough to use anywhere. Poor Quality Headphones.
251;25-34;Female;Incredibly small. It's Already Full.
254;35-44;Male;Nothing special. It does everything well. The Color.
256;35-44;Female;Looks nice. Absence Of Radio.
260;35-44;Male;"I find it very convenient and simple to use. It Seems Slightly Unreliable; I Think It Is A Bit Buggy."
261;25-34;Female;Easy to use and my alternative rock songs sound awesome on it!. Battery Life.
262;35-44;Female;"How many songs it holds. Disconnecting It From The Pc. It Always Has A ""Do Not Disconnect"" Message & I Have To Manually Disconnect The Setting."
264;45-54;Male;Been using a portable cassette player, but it finally broke. Product A seemed to be the brand to get. I like that they're really light weight. Also, it's easier to skip around from song to song than it is with a tape. Learning How To Download Songs Was Odd And I'm Still Not Crazy About The Interface.
267;25-34;Male;It changes the relationship you have with your music. I've been listening to music a long time and that never happened with cds, tapes, or vinyl. Maybe It Trivializes The Music A Bit Too Much.
269;18-24;Female;I can put a lot of music on it and it's cool looking. Nothing.
271;25-34;Female;I like that I can listen to my music when I'm at the gym and not have to worry about switching CD's or the CD skipping. I Don't Like The Headphones That Came With The Device. They Hurt My Ears. I Had To Buy A New Pair That Were Comfortable.
272;25-34;Male;Creating custom playlists, listening to comedy clips downloaded from the Web. Poor Video Quality, Not Compatible With Other Audio Formats.
276;25-34;Female;I like that it's easily portable and that I can take it with me while I'm working at my local coffee shop. I Wish The Battery Life Was Longer. I Find That I Have To Recharge The Device Often.
278;25-34;Female;I like that I can easily carry a variety of music with me. The new broadcast feature is also great. Their Website Makes It Difficult For Me To Download Tunes.
279;35-44;Female;Lots of storage, ability to store all of my music in one place, listening to books, playlists. Heavy.
280;25-34;Female;The number of songs I can store on it. Battery Runs Down Quickly.
285;25-34;Female;Small. I Don't Like The Volume Control.
286;<18;Male;I can buy just the songs I want on their site. I Wish The Battery Lasted Longer.
287;25-34;Female;The memory. Nothing.
290;25-34;Female;Little size, great capacity. Nothing.
291;25-34;Female;Holds lots of songs, can tell which album and song is playing, and by which artist. Slippery So You Need To Buy All Sorts Of Holders And A Protective Case.
293;25-34;Male;The smallest, most reliable, best product ever on the market. I Can't Find It Sometimes Because It's So Small!.
295;25-34;Female;Hand-sized portable. Nothing.
296;25-34;Male;Design and simplicity. The Case Gets Scuffed Up Far Too Easily.
297;25-34;Male;Its stylin'. Everyone Has One.
299;25-34;Male;It holds loads of songs and is easy to use. Battery Life Could Be Better.
305;25-34;Male;Ease of use, bug free. There Are Too Many New Product Updates. Would Be Good If You Could See What The Next Song In Your Playlist Is.
306;35-44;Male;Quite stylish and easy to use. Battery Life Is Terrible. It's Too Heavy And Too Unreliable.
307;>54;Female;I love how it is so small. I also like the games I can play. I Wish It Came In Pink.
310;45-54;Male;The colour of the device. I Don't Like That You Need A Case To Stop The Screen From Becoming Scratched.
312;25-34;Female;Good quality of sound. Colour.
315;18-24;Female;Small size, amount of storage, colour, style and design. Battery Power Is Not Very Good.
316;25-34;Female;It portable. Not Able To Transfer Music From Product A.
319;25-34;Male;I finally caved in after seeing all the commericals and seeing people on the train with Product A. It does look sleek. Controls Are Too Small. Geared For Younger People With Better Eyes.
322;35-44;Female;The size. Earphone Quality.
323;25-34;Male;. Nothing.
324;35-44;Male;Form, function, memory, ease of use. Durability.
325;35-44;Female;It looks beautiful and it is easy to use. Soemtimes I Lose The Songs Because I Have Not Set Up The Play List Correctly.
329;25-34;Male;Size. Incompatiability.
332;25-34;Male;It plays music. The Batteries Run Out.
334;<18;Male;I like the well-designed interface and large capacity. It's Expensive.
336;25-34;Female;Looks cool. Screen Is Easy To Scratch.
337;35-44;Male;It looks cool, I like gadgets and I like having all my music with me on long car trips. The Battery Runs Out.
339;>54;Female;It is small and yet has good sound quality. I Have To Pay For Songs That I Already Have On Cd.
343;18-24;Female;No skipping of tracks when I move. Low Battery Life And Everyone Else Has One.
344;25-34;Female;Easy to operate, light weight, lot of memory space. Nothing.
350;25-34;Female;It has so much storage!. Nothing. I Love Everything About It.
351;35-44;Male;Product A is small but with a large capacity for tracks. Not As Small As Newer Versions Of Other Products.
352;18-24;Female;It is pretty. Nothing.
353;45-54;Female;It's puny and easy to carry. I Have Product A And It Doesn't Give Me Options For Controlling The Order Of Play.
358;35-44;Male;The massive amount of storage capacity as well as the ease of use are the primary factors. I also like the sleek look of the product. Can't Show Video On The Device But New Ones Can. Cost Is Too High.
359;35-44;Male;Big capacity! Nice design and easy to use. Cost Is Too Much. Can't Play Video But The New Ones Can.
360;35-44;Male;It is nicely designed with great features that are easy to use. The large 60GB capicity is wonderful! I love the color screen. Cost Is Very High. Wish It Could Play Video Like The Newer Model.
362;35-44;Male;"Design perfection; visually attractive, slim, lightweight. Big hard drive. Led Screen Hard To Read."
363;25-34;Female;It's large enough to hold all my music and the battery lasts forever. It Was Expensive.
364;18-24;Female;Color. Size.
367;25-34;Male;The size. The Battery Life.
368;18-24;Male;Portable, light small powerful. Battery Life, Some Popular Music Formats Cannot Be Played.
369;25-34;Male;Conveniance to listen to my music wherever I am. It is able to store all my music so i have whatever i want when i want it. It Was Expensive.
371;35-44;Female;Convenient size. New Batteries Are Expensive.
372;25-34;Female;It's compact. i can store loads of songs on it. No Complaints.
373;18-24;Female;Easy to use. I Had To Get It Repaired.
383;35-44;Male;Light. Broke Three Time Within First 6 Months, Need To Be Replaced. Quality Is Poor.
386;18-24;Female;It holds alot of songs and is good quality. Hard To Find The Songs You Want To Listen To.
387;25-34;Male;It stores lots of music, easy to use and good sound quality. Not Much.
390;35-44;Male;The number of tracks that it holds. Transfering Tracks To Device And Categorising.
392;>54;Male;Its small and convenient. Non Rechargable Battery.
396;35-44;Male;Easy to carry. Color.
397;35-44;Male;Small and stylish. Very Short Battery Life.
398;45-54;Male;Small, fairly cheap. Random Song Order And Small Memory Capacity.
401;>54;Male;Can store lots of music. Is easy to use. Battery Life.
402;25-34;Male;It's capacity and ease of use. Doesn't Hold Up To Casual Abuse.
403;35-44;Female;Can take it anywhere. Nothing.
19;<18;Female;Others think it is cool and it sounds great. I Find The Controls Hard To Use.
31;>54;Female;Its portability enables me to listen to my music while I am milking cows and working in the fields. I Think That It Could Be Lighter And Less Expensive. And Longer Battery Life.
66;25-34;Male;Convenience of storing all my music in one device. It's Somewhat Bulky.
72;>54;Male;Portable and durable. Not Enough Space On It.
121;25-34;Male;Storage capacity (40GB). Size.
122;35-44;Male;Compact and waterproof. Size.
125;25-34;Female;It was free. Can Only Hold About 16 Songs.
137;25-34;Female;The size. The Menus Are Hard To Get To.
143;35-44;Male;Its cost. Low Battery Life.
171;>54;Male;It holds all 6 of my Classical music CD's. Its A Little Bit Too Big.
184;35-44;Female;Not having to drag my CDs around with me. Sound Quality Not Too Impressive.
191;<18;Female;I don't have to carry around CDs. It Doesn't Look At Cool As Product A.
198;45-54;Female;I like it because I can hear the music clearly. I Wish It Had Longer Battery Life.
212;45-54;Male;Good mobillity. Poor Menu System.
213;45-54;Male;Its compact size. Its Battery Life.
221;>54;Female;Makes me feel young again!. I Don't Understand All Of The Buttons.
232;45-54;Male;Inexpensive, has FM radio. Doesn't List Tracks.
245;18-24;Male;Multiple formats. Big hard disk. Good battery life and recharge speed. Good download speed. Controls Can Be A Bit Fiddly And Not Quite As Cool As Product A.
253;45-54;Male;Great sound. Difficult Controls.
258;45-54;Male;"Small size; large capacity; easy to use. A Bit Cheap-Looking."
259;25-34;Male;Its size means I can listen to it while working. I Can't Hear When Someone Talks To Me.
270;18-24;Male;Sound quality. It Came With A Bunch Of Lame Songs Loaded.
273;<18;Female;Nothing. It Does Not Sound Very Good But My Folks Won't Buy Me A New One So I'm Stuck With It.
281;25-34;Female;I can access it using different computers. It's also very compact for travelling. I Hate That It Doesn't Have A Colour Screen.
302;35-44;Female;Great sound. A Bit Bigger Than Some Of The Newer Devices.
303;25-34;Female;The fact that it can be charged up and I don't need to carry CDs as all the music is loaded on it already. It Is Quite Heavy. I Have To Load All The Music Onto The Computer First Then Download It Onto The Device Which Is A Bit Of A Pain.
304;25-34;Male;Music catalogue is better than others. Too Big.
311;25-34;Male;Size and weight. Half-Baked Software.
340;25-34;Male;I can listen to only the songs that I like. Nothing.
348;35-44;Female;Small and neat, easy to take around with me. So Far It's All Been Fine But Could You Make It In Nicer Colours, My Phone Is Pink For Instance.
370;25-34;Female;The color. The Screen.
375;18-24;Female;Small, light. The Headphones, Too Big.
380;25-34;Male;Can store files other than music, small enough to fit in my pocket, and has FM radio. Nothing.
391;<18;Female;Rechargable battery. It's Quite Bulky.
25;18-24;Female;Very small and holds lots of songs. Didn't Come With A Belt Clip.
98;35-44;Female;Big storage capacity, also does video. Too Heavy.
114;35-44;Male;Large storage capacity and a good LCD screen for viewing digital photos. Battery Life Limitations.
156;25-34;Female;You can take it everywhere. Nothing.
210;>54;Male;I can put all of my music on it. It Is Really Pricey.
237;45-54;Female;I can edit the playlist. Lousy Sound! It Doesn't Play Files I Buy Online. What A Ripoff!.
257;<18;Female;Its size means I don't have to listen to the teachers. It's A Bit Big, Sometimes Teachers Spot Me Listening To It.
308;18-24;Female;I like the various functions that it offers including music, film & photos. It Is Too Big To Carry When Exercising.
333;35-44;Male;It is lightweight and rugged. It Is Ugly.
356;18-24;Female;I can listen to my music where ever I want. I Can Not Hear What Anyone Else Is Saying.
21;25-34;Female;Easy to use. Size.
51;35-44;Male;Taking all my music everywhere. Loosing All My Music If It Breaks.
58;25-34;Female;I can listen to the radio on it. Sometimes The Reception Isn't That Great.
61;35-44;Female;High quality, durable, good sound. Short Battery Life.
67;25-34;Female;Durably constructed. Bulky And Heavy To Carry.
74;>54;Male;Great quality. Too Expensive.
80;35-44;Male;Small. Mine Is Old And So It Hold Only 16 Songs Lol.
81;25-34;Female;It's nice. Its Old.
86;25-34;Female;Handy. Batteries.
94;>54;Male;Long battery life. Also when you turn it on it picks up where you left off. It Is Not Loud Enough.
111;25-34;Female;It is compact, tidy and easy to use. I Am Quite Happy With Its Current Features Since It Serves My Purpose.
113;45-54;Male;It's portable. Doesn't Let You Take Stuff Off Once It's On There. So When It Crashes, And It Does, You've Lost All Your Music.
120;35-44;Female;The sound quality and the ability to record and mix my own play lists. Battery Drainage.
127;35-44;Male;It's tough. Style Is A Little Clunky.
138;>54;Male;The sound quality. The Color, I Wish It Came In A Variety Of Colors To Choose From.
145;35-44;Female;Listening while traveling to drown out the noise of crying kids!. Forgot How To Upload New Music!.
146;45-54;Male;It has a lot of storage capacity. I can fit a lot of songs on it. Also, it's very lightweight. It Was Expensive!.
152;25-34;Male;Its small. Not Enough Memory.
159;35-44;Female;I can listen to whatever i want, whenever i want to. Not Enough Storage For All My Music. I Have Tons Of Songs.
160;35-44;Male;It's actually my son's but I use when I exercise. I like that it's so slim and lightweight. It's pretty too. Nothing.  It's Fine.
162;35-44;Male;"Convenience. Easy to use; I'm a technophobe!. Wish It Had A Radio."
177;35-44;Male;Ease of Use. Battery Life.
181;45-54;Male;"It has really good sound; not the really bad sound I experienced with Product A. I know people think Product A is really cool but I have been so much happier with the design of Product D. I Wish It Had More Space."
187;<18;Male;It's way cool, the teacher can't even see the headphone cable. It Eats Batteries. I Have To Buy A New One Every Couple Of Days.
190;<18;Female;Easy to transport. Too Expensive.
192;35-44;Female;It has a catchy beat an is easy to dance to. Color Doesn't Match Any Of My Cool Outfits.
195;45-54;Male;It was cheap. It's Too Big.
