ID;Age;Sexe; Salaire ;Sexe;Statut;Division;Département;Poste;Ancienneté;Mobilité;HeuresSup;Attrition;Déplacement;Distance lieu de travail;Notation 2017;Grade;Satisfaction;Heures supplémentaires;Nombre employeurs précédents;Ancienneté;Ancienneté compagnie;Ancienneté dans le poste;Dernière augmentation;Manager;Satisfaction lieu de travail;Formation;Equilbre;Notation 2018;Satisfaction équipe
12;25;F; 10 778,50 € ;Homme;Marié;Ordinateurs;R&D;Responsable Qualité;3;Rarement;Non;En poste;Travel_Rarely;15;Medium;2;High;Yes;0;10;9;5;0;8;Very High;3;Better;Excellent;Very High
13;43;F; 10 858,00 € ;Femme;Marié;Logiciels;R&D;Responsable d'équipe;0;Rarement;Non;En poste;Travel_Rarely;26;High;1;High;No;1;5;5;2;4;3;Low;1;Good;Excellent;Very High
14;35;F; 11 542,50 € ;Homme;Divorcé;Digital;R&D;Développeur logiciels;5;Rarement;Non;En poste;Travel_Rarely;19;High;1;Very High;No;0;3;2;2;1;2;Medium;2;Better;Excellent;High
15;29;M; 8 584,50 € ;Homme;Divorcé;Ordinateurs;R&D;Responsable Qualité;8;Rarement;Non;En poste;Travel_Rarely;24;Medium;1;High;Yes;5;6;4;2;0;3;High;4;Better;Excellent;Medium
16;27;M; 7 014,00 € ;Femme;Divorcé;Marketing;Ventes;Ingénieur d'affaires;2;Ponctuellement;Non;En poste;Travel_Rarely;21;Very High;3;Low;No;1;10;10;9;8;8;Medium;1;Better;Excellent;High
17;47;M; 12 682,00 € ;Femme;Divorcé;Logiciels;R&D;Directeur Commercial;9;Rarement;Oui;En poste;Travel_Rarely;5;Very High;1;Medium;Yes;0;7;6;2;0;5;Low;5;Good;Excellent;Very High
18;51;F; 7 014,00 € ;Homme;Marié;Marketing;Ventes;Ingénieur d'affaires;7;Rarement;Non;En poste;Non-Travel;16;Very High;1;Very High;Yes;1;1;1;0;0;0;Very High;2;Good;Excellent;Medium
19;46;F; 7 014,00 € ;Homme;Divorcé;Logiciels;R&D;Manager;7;Rarement;Non;En poste;Travel_Rarely;2;Medium;4;Very High;No;2;31;25;8;3;7;Low;3;Better;Excellent;High
20;34;M; 8 777,00 € ;Homme;Marié;Ordinateurs;R&D;Directeur Commercial;3;Ponctuellement;Oui;En poste;Travel_Rarely;2;High;1;Very High;Yes;5;6;3;2;1;2;Very High;3;Better;Excellent;High
21;26;F; 8 397,50 € ;Homme;Marié;Ordinateurs;R&D;Responsable Qualité;7;Ponctuellement;Non;Démission;Non-Travel;11;Very High;2;High;No;0;5;4;2;1;3;Low;5;Good;Excellent;Very High
22;28;F; 7 481,00 € ;Homme;Marié;Electronique;R&D;Responsable Qualité;2;Rarement;Non;En poste;Travel_Rarely;9;Medium;1;Low;No;7;10;5;3;0;3;High;4;Better;Outstanding;Medium
23;49;F; 7 481,00 € ;Femme;Célibataire;Digital;R&D;Responsable d'Agence;7;Rarement;Non;En poste;Travel_Rarely;7;High;3;Medium;No;0;13;12;6;2;11;Low;4;Better;Excellent;High
24;21;F; 7 481,00 € ;Femme;Célibataire;Digital;R&D;Développeur logiciels;0;Rarement;Non;En poste;Travel_Rarely;15;High;1;Very High;No;1;0;0;0;0;0;High;6;Better;Excellent;Very High
25;36;F; 5 628,50 € ;Femme;Divorcé;Ordinateurs;R&D;Responsable d'équipe;7;Rarement;Non;En poste;Travel_Rarely;6;High;1;Low;No;2;8;4;2;1;3;Medium;2;Better;Excellent;High
26;29;F; 7 139,00 € ;Homme;Marié;Logiciels;R&D;Responsable Qualité;2;Rarement;Oui;En poste;Travel_Rarely;5;High;5;High;No;4;26;14;13;4;8;High;3;Good;Excellent;Very High
27;40;M; 10 562,50 € ;Femme;Marié;Logiciels;R&D;Responsable Qualité;3;Jamais;Non;En poste;Travel_Frequently;16;Low;1;Low;Yes;1;10;10;2;6;7;Medium;5;Better;Outstanding;Medium
28;33;M; 5 628,50 € ;Femme;Célibataire;Digital;R&D;Responsable Qualité;8;Rarement;Non;Démission;Travel_Rarely;8;High;2;Medium;No;0;10;9;7;4;2;High;2;Better;Excellent;Very High
29;37;M; 5 628,50 € ;Homme;Divorcé;Logiciels;R&D;Responsable d'équipe;4;Rarement;Non;En poste;Travel_Rarely;7;Medium;3;Very High;No;3;24;22;6;5;17;Low;4;Better;Excellent;Very High
30;49;F; 12 501,00 € ;Femme;Célibataire;Logiciels;R&D;Manager;18;Ponctuellement;Oui;En poste;Travel_Rarely;2;High;5;Low;No;3;22;2;2;2;1;Medium;2;Good;Excellent;Very High
31;55;F; 8 908,50 € ;Homme;Marié;Logiciels;R&D;Développeur logiciels;9;Rarement;Oui;En poste;Travel_Rarely;2;High;1;Very High;No;4;7;1;1;0;0;High;3;Better;Excellent;Very High
32;30;M; 10 126,00 € ;Femme;Célibataire;Digital;Ventes;Ingénieur d'affaires;2;Rarement;Non;En poste;Travel_Rarely;10;High;2;Very High;Yes;2;9;4;2;1;3;Very High;5;Best;Excellent;Very High
33;24;F; 10 126,00 € ;Femme;Marié;Ordinateurs;R&D;Développeur logiciels;2;Rarement;Non;Démission;Travel_Rarely;9;Medium;1;High;No;1;10;10;0;1;8;Very High;5;Better;Excellent;Low
34;22;F; 8 892,50 € ;Homme;Divorcé;Ordinateurs;Ventes;Architecte;0;Rarement;Non;En poste;Travel_Rarely;5;High;2;Very High;No;3;19;1;0;0;0;Very High;6;Best;Excellent;High
35;48;M; 8 908,50 € ;Femme;Marié;Ordinateurs;R&D;Responsable d'Agence;9;Rarement;Oui;En poste;Travel_Rarely;1;High;1;Very High;Yes;2;6;2;0;2;0;Medium;2;Good;Excellent;Low
36;36;M; 9 676,00 € ;Homme;Marié;Ordinateurs;Ressources Humaines;Chargé Responsable division RH;9;Rarement;Non;En poste;Travel_Rarely;2;Very High;1;High;No;1;6;5;3;1;4;Very High;3;Good;Excellent;Very High
37;31;M; 9 676,00 € ;Homme;Marié;Logiciels;R&D;Développeur logiciels;2;Rarement;Oui;Démission;Travel_Rarely;3;Medium;1;High;Yes;1;3;3;2;0;2;Low;2;Better;Excellent;High
38;54;M; 8 642,50 € ;Femme;Célibataire;Ordinateurs;R&D;Manager;0;Jamais;Non;En poste;Travel_Rarely;2;High;1;Very High;No;1;2;2;2;2;2;Very High;3;Better;Excellent;Low
39;48;M; 2 135,50 € ;Homme;Marié;Ordinateurs;Ventes;Ingénieur d'affaires;2;Rarement;Non;En poste;Travel_Rarely;5;Medium;1;Low;Yes;9;6;1;1;0;0;Medium;3;Best;Excellent;Very High
40;47;M; 4 883,00 € ;Homme;Marié;Logiciels;R&D;Responsable Qualité;0;Rarement;Non;Démission;Travel_Frequently;1;Very High;2;Low;No;2;10;5;3;1;3;High;3;Better;Excellent;Low
41;37;M; 5 066,00 € ;Femme;Célibataire;Ordinateurs;R&D;Responsable d'équipe;14;Rarement;Non;En poste;Travel_Rarely;4;High;1;Very High;No;1;1;1;0;0;0;High;3;Better;Excellent;High
42;30;M; 9 467,50 € ;Femme;Célibataire;Electronique;R&D;Développeur logiciels;4;Rarement;Oui;En poste;Travel_Rarely;2;High;1;Low;No;1;1;1;0;0;0;Very High;6;Better;Excellent;Very High
43;27;M; 4 497,00 € ;Homme;Divorcé;Logiciels;Ventes;Ingénieur d'affaires;2;Rarement;Non;En poste;Travel_Rarely;25;Low;1;High;No;1;1;1;0;0;1;Low;2;Good;Excellent;High
44;24;M; 10 413,00 € ;Femme;Célibataire;Ordinateurs;Ventes;Ingénieur d'affaires;2;Rarement;Non;En poste;Travel_Frequently;8;High;3;High;No;1;9;9;8;1;7;Very High;0;Better;Excellent;Very High
45;47;M; 13 129,50 € ;Femme;Divorcé;Ordinateurs;R&D;Responsable d'Agence;10;Ponctuellement;Non;En poste;Travel_Frequently;1;High;2;Very High;No;1;12;12;8;3;7;High;2;Better;Outstanding;Very High
46;44;M; 3 451,00 € ;Homme;Marié;Ordinateurs;Ventes;Ingénieur d'affaires;7;Rarement;Non;En poste;Travel_Rarely;12;High;5;High;No;1;23;22;15;15;8;Medium;0;Better;Excellent;Very High
47;49;F; 11 222,50 € ;Homme;Divorcé;Marketing;Ventes;Manager;0;Rarement;Oui;En poste;Non-Travel;23;High;2;High;No;0;10;9;5;8;7;Medium;2;Better;Outstanding;High
48;29;M; 2 401,00 € ;Homme;Célibataire;Marketing;Ventes;Ingénieur d'affaires;2;Rarement;Non;En poste;Travel_Rarely;19;High;1;Medium;No;4;8;1;0;0;0;Medium;1;Better;Outstanding;Low
49;42;M; 12 557,50 € ;Femme;Marié;Ordinateurs;R&D;Développeur logiciels;3;Rarement;Non;En poste;Travel_Frequently;5;High;2;Very High;Yes;4;14;9;6;0;8;Low;4;Better;Outstanding;High
50;36;F; 1 098,50 € ;Femme;Célibataire;Electronique;Ressources Humaines;Chargé Responsable division RH;7;Rarement;Non;En poste;Travel_Rarely;8;Very High;1;Very High;No;1;1;1;0;0;1;Very High;2;Better;Excellent;Very High
51;24;M; 1 853,50 € ;Femme;Célibataire;Electronique;R&D;Responsable Qualité;2;Rarement;Non;En poste;Travel_Rarely;1;Medium;3;High;Yes;9;23;1;0;0;0;Low;2;Better;Excellent;Very High
52;35;F; 6 289,50 € ;Femme;Divorcé;Logiciels;R&D;Responsable Qualité;1;Rarement;Non;En poste;Travel_Rarely;5;High;1;High;Yes;1;2;2;2;2;2;High;3;Good;Excellent;High
53;57;F; 1 692,50 € ;Homme;Célibataire;Digital;Ventes;Ingénieur d'affaires;5;Rarement;Oui;En poste;Travel_Rarely;1;High;2;Low;Yes;5;9;4;3;1;3;Medium;2;Good;Outstanding;High
54;33;F; 12 292,50 € ;Femme;Marié;Ordinateurs;R&D;Développeur logiciels;7;Ponctuellement;Oui;Démission;Non-Travel;11;Medium;3;Low;Yes;2;10;4;0;2;3;High;3;Better;Excellent;High
55;56;M; 8 005,50 € ;Femme;Divorcé;Ordinateurs;Ventes;Ingénieur d'affaires;6;Ponctuellement;Non;En poste;Travel_Rarely;23;Medium;2;Very High;Yes;7;5;2;2;0;0;High;2;Good;Excellent;High
56;29;M; 6 102,00 € ;Homme;Célibataire;Digital;R&D;Responsable d'Agence;2;Ponctuellement;Oui;En poste;Travel_Frequently;1;High;3;Very High;Yes;1;15;15;14;8;12;Low;1;Better;Excellent;High
57;32;F; 8 767,50 € ;Femme;Divorcé;Ordinateurs;Ressources Humaines;Chargé Ressources Humaines;2;Jamais;Oui;Démission;Travel_Frequently;18;High;3;Low;No;1;9;9;8;1;8;Medium;3;Good;Outstanding;Very High
58;41;F; 3 633,00 € ;Femme;Marié;Ordinateurs;R&D;Développeur logiciels;2;Ponctuellement;Non;En poste;Travel_Rarely;23;High;1;Low;Yes;3;4;2;2;2;2;High;3;Better;Excellent;High
59;40;M; 8 853,50 € ;Homme;Marié;Digital;R&D;Développeur logiciels;3;Jamais;Oui;En poste;Travel_Rarely;7;High;2;Very High;No;3;10;7;7;1;7;Very High;3;Good;Outstanding;Very High
60;38;M; 7 227,50 € ;Homme;Célibataire;Digital;R&D;Développeur logiciels;3;Rarement;Oui;Démission;Travel_Rarely;1;Medium;2;High;No;1;7;7;5;0;7;Low;2;Best;Excellent;High
61;56;F; 1 840,50 € ;Femme;Célibataire;Marketing;Ventes;Ingénieur d'affaires;9;Rarement;Non;En poste;Travel_Rarely;1;High;2;Very High;Yes;1;9;9;8;7;8;Low;3;Better;Outstanding;Medium
62;28;F; 12 713,50 € ;Homme;Divorcé;Marketing;Ventes;Architecte;2;Ponctuellement;Non;En poste;Travel_Frequently;29;High;2;Very High;No;1;10;10;3;9;9;Very High;2;Better;Excellent;Very High
63;33;F; 3 611,50 € ;Homme;Marié;Logiciels;Ressources Humaines;Chargé Ressources Humaines;0;Jamais;Non;En poste;Travel_Rarely;7;Medium;5;High;Yes;5;29;27;3;13;8;Medium;2;Good;Excellent;Very High
64;31;F; 4 499,50 € ;Femme;Divorcé;Logiciels;R&D;Directeur Commercial;1;Rarement;Non;En poste;Travel_Rarely;25;High;3;Low;No;7;28;21;16;7;9;Low;3;Good;Excellent;Very High
65;43;M; 12 463,00 € ;Femme;Marié;Ordinateurs;R&D;Responsable Qualité;0;Ponctuellement;Non;En poste;Travel_Rarely;8;High;3;High;No;1;17;17;14;12;8;High;2;Better;Excellent;Medium
66;50;M; 2 703,50 € ;Homme;Marié;Ordinateurs;R&D;Responsable d'équipe;2;Ponctuellement;Non;En poste;Travel_Rarely;8;High;4;High;Yes;2;21;5;0;0;2;Very High;2;Better;Excellent;High
67;47;F; 6 177,00 € ;Homme;Marié;Ordinateurs;Ventes;Manager;2;Rarement;Non;En poste;Travel_Frequently;11;Medium;2;Medium;No;1;6;6;5;0;3;Medium;3;Better;Excellent;High
68;29;M; 3 344,00 € ;Homme;Divorcé;Marketing;Ventes;Architecte;2;Rarement;Non;En poste;Travel_Rarely;7;High;3;Low;No;2;25;1;0;0;0;Medium;2;Better;Excellent;High
69;31;M; 4 880,00 € ;Femme;Divorcé;Marketing;Ventes;Architecte;0;Rarement;Non;En poste;Travel_Frequently;1;High;1;Low;No;4;5;3;2;1;2;Medium;2;Good;Excellent;Very High
70;31;M; 3 899,50 € ;Homme;Divorcé;Marketing;Ventes;Ingénieur d'affaires;7;Ponctuellement;Non;En poste;Travel_Rarely;9;Medium;1;High;Yes;0;2;1;0;0;0;Very High;0;Good;Excellent;Low
71;35;M; 1 747,00 € ;Femme;Marié;Ordinateurs;R&D;Directeur Commercial;3;Rarement;Non;En poste;Travel_Frequently;1;Medium;2;High;No;7;20;4;3;1;3;Low;2;Good;Excellent;Very High
72;44;F; 7 556,00 € ;Homme;Divorcé;Ordinateurs;R&D;Directeur Commercial;8;Jamais;Non;En poste;Travel_Rarely;2;High;1;Medium;No;0;6;5;4;0;4;High;3;Better;Outstanding;Very High
73;33;F; 5 916,50 € ;Femme;Célibataire;Ordinateurs;R&D;Responsable Qualité;2;Rarement;Oui;En poste;Travel_Rarely;1;High;1;Medium;No;1;1;1;1;1;0;High;4;Better;Excellent;Medium
74;44;M; 3 651,50 € ;Homme;Marié;Logiciels;Ressources Humaines;Manager;8;Rarement;Non;En poste;Travel_Rarely;1;High;2;Medium;No;1;10;10;4;0;9;Medium;3;Better;Excellent;Medium
75;38;M; 12 311,00 € ;Homme;Marié;Logiciels;R&D;Responsable Qualité;2;Rarement;Non;En poste;Travel_Rarely;6;Very High;1;Very High;No;3;5;1;0;0;0;Medium;3;Better;Excellent;Medium
76;42;M; 7 643,00 € ;Femme;Marié;Logiciels;Ventes;Ingénieur d'affaires;10;Rarement;Oui;En poste;Travel_Rarely;8;High;2;Very High;No;1;11;11;7;1;8;High;2;Better;Outstanding;Very High
77;38;F; 3 703,00 € ;Femme;Marié;Ordinateurs;R&D;Développeur logiciels;7;Ponctuellement;Oui;En poste;Travel_Rarely;1;Medium;2;Low;No;0;16;15;13;2;8;High;2;Better;Excellent;Medium
78;34;F; 10 621,00 € ;Femme;Célibataire;Ordinateurs;R&D;Directeur Commercial;7;Rarement;Oui;En poste;Travel_Rarely;6;High;3;Low;Yes;4;17;0;0;0;0;Very High;3;Best;Excellent;Medium
79;33;F; 2 148,00 € ;Femme;Marié;Ressources Humaines;Ressources Humaines;Chargé Ressources Humaines;11;Rarement;Non;En poste;Travel_Rarely;7;High;3;High;No;4;16;5;2;0;2;Low;3;Best;Excellent;Low
80;35;F; 8 542,50 € ;Homme;Marié;Ordinateurs;R&D;Responsable Qualité;7;Rarement;Non;En poste;Travel_Rarely;5;High;2;Medium;Yes;8;16;4;2;0;2;Medium;2;Better;Outstanding;Very High
81;38;F; 12 954,00 € ;Homme;Célibataire;Logiciels;R&D;Développeur logiciels;5;Ponctuellement;Non;En poste;Travel_Rarely;1;Medium;2;Very High;Yes;1;10;10;8;3;0;Very High;1;Good;Excellent;High
82;38;M; 6 204,00 € ;Homme;Célibataire;Marketing;Ventes;Ingénieur d'affaires;2;Rarement;Oui;Démission;Travel_Rarely;1;Medium;1;High;No;1;6;6;4;0;4;Medium;3;Better;Excellent;Low
83;54;F; 12 651,00 € ;Femme;Divorcé;Ordinateurs;R&D;Développeur logiciels;2;Rarement;Oui;En poste;Travel_Rarely;1;High;3;Very High;No;3;24;1;0;1;0;Low;4;Better;Excellent;Very High
84;22;F; 5 812,00 € ;Femme;Divorcé;Ressources Humaines;Ressources Humaines;Chargé Ressources Humaines;0;Rarement;Non;En poste;Non-Travel;6;Low;2;Very High;Yes;7;17;13;11;1;9;Medium;3;Better;Excellent;Very High
85;36;F; 7 631,00 € ;Homme;Marié;Ordinateurs;R&D;Responsable Qualité;4;Rarement;Non;En poste;Travel_Rarely;1;High;2;Medium;No;1;5;5;2;1;3;Low;2;Better;Excellent;High
86;44;M; 5 331,50 € ;Femme;Célibataire;Digital;R&D;Développeur logiciels;0;Ponctuellement;Non;En poste;Travel_Rarely;7;Low;3;Very High;No;4;37;6;4;0;2;Very High;3;Good;Excellent;Low
87;35;M; 8 435,50 € ;Femme;Célibataire;Logiciels;Ventes;Ingénieur d'affaires;2;Ponctuellement;Non;En poste;Travel_Rarely;2;High;1;Low;No;3;3;0;0;0;0;High;3;Better;Excellent;High
88;50;M; 6 019,00 € ;Homme;Divorcé;Ordinateurs;R&D;Responsable d'équipe;7;Jamais;Non;En poste;Travel_Rarely;9;High;1;Very High;No;3;10;4;2;0;3;Very High;4;Better;Outstanding;Medium
89;40;F; 5 374,00 € ;Femme;Divorcé;Ordinateurs;R&D;Responsable d'équipe;7;Rarement;Non;En poste;Travel_Rarely;2;Medium;2;Very High;No;1;11;11;10;10;8;High;3;Better;Excellent;Low
90;45;F; 10 231,00 € ;Homme;Marié;Logiciels;R&D;Manager;8;Jamais;Non;En poste;Travel_Rarely;9;Medium;3;Very High;No;1;9;9;8;4;7;High;3;Better;Excellent;Very High
91;46;F; 7 109,00 € ;Homme;Divorcé;Logiciels;R&D;Responsable d'Agence;2;Rarement;Oui;En poste;Travel_Frequently;1;Medium;4;Medium;No;1;22;22;3;11;11;High;3;Good;Outstanding;Very High
92;38;M; 3 818,00 € ;Homme;Marié;Ordinateurs;Ventes;Ingénieur d'affaires;8;Rarement;Non;En poste;Travel_Rarely;21;High;2;Very High;Yes;0;11;10;7;1;0;High;2;Bad;Outstanding;Very High
93;52;M; 7 661,00 € ;Homme;Célibataire;Ordinateurs;R&D;Responsable d'équipe;0;Rarement;Non;En poste;Travel_Rarely;4;Medium;2;Medium;Yes;1;11;11;8;2;7;High;4;Good;Excellent;Medium
94;22;M; 11 892,50 € ;Femme;Célibataire;Logiciels;R&D;Responsable Qualité;0;Rarement;Non;En poste;Travel_Frequently;1;Medium;3;Low;Yes;2;21;10;9;9;5;High;5;Good;Excellent;High
95;54;M; 12 228,00 € ;Femme;Divorcé;Logiciels;R&D;Manager;12;Ponctuellement;Non;En poste;Travel_Rarely;6;High;2;High;No;1;12;11;8;5;7;Medium;0;Better;Excellent;Low
96;34;F; 5 964,50 € ;Homme;Divorcé;Logiciels;R&D;Responsable d'Agence;9;Ponctuellement;Non;En poste;Travel_Rarely;2;High;3;High;No;9;16;4;3;0;3;Low;5;Bad;Excellent;Low
97;29;F; 3 344,50 € ;Femme;Marié;Ordinateurs;R&D;Responsable Qualité;0;Rarement;Oui;Démission;Travel_Rarely;3;High;2;High;No;0;4;3;2;0;2;Low;2;Good;Outstanding;Low
98;28;M; 6 269,00 € ;Femme;Divorcé;Electronique;R&D;Développeur logiciels;7;Rarement;Non;En poste;Non-Travel;4;High;2;High;No;1;5;5;4;0;4;Medium;3;Best;Excellent;Medium
99;26;M; 5 279,00 € ;Homme;Célibataire;Ordinateurs;R&D;Responsable Qualité;1;Rarement;Non;Démission;Travel_Rarely;10;High;4;High;No;0;38;37;10;1;8;Very High;1;Good;Excellent;High
100;56;M; 5 130,50 € ;Homme;Célibataire;Ordinateurs;R&D;Responsable Qualité;0;Rarement;Non;Démission;Non-Travel;23;High;2;Medium;No;4;17;3;2;1;2;Medium;3;Best;Excellent;High
101;30;M; 3 590,50 € ;Femme;Célibataire;Logiciels;R&D;Responsable Qualité;7;Jamais;Non;En poste;Travel_Rarely;6;High;1;Low;Yes;4;7;3;2;0;2;High;3;Better;Outstanding;Very High
102;37;M; 1 607,00 € ;Homme;Célibataire;Logiciels;Ventes;Ingénieur d'affaires;3;Rarement;Non;En poste;Travel_Rarely;1;High;1;Low;No;1;1;1;0;0;0;Very High;2;Better;Excellent;Very High
103;36;M; 1 161,50 € ;Femme;Célibataire;Ordinateurs;R&D;Directeur Commercial;12;Rarement;Oui;En poste;Travel_Frequently;6;Medium;1;Very High;Yes;1;1;1;0;1;0;Very High;5;Better;Excellent;Medium
104;47;F; 6 959,50 € ;Femme;Marié;Marketing;Ventes;Ingénieur d'affaires;17;Rarement;Non;En poste;Travel_Rarely;6;High;2;High;No;1;16;16;13;2;10;Low;3;Better;Excellent;High
105;44;M; 4 638,00 € ;Homme;Divorcé;Ordinateurs;R&D;Responsable d'équipe;0;Rarement;Non;En poste;Non-Travel;2;Medium;2;Very High;No;5;17;1;0;0;0;High;2;Best;Excellent;Very High
106;33;F; 2 667,50 € ;Homme;Divorcé;Ordinateurs;R&D;Responsable d'équipe;7;Ponctuellement;Non;En poste;Non-Travel;2;Medium;5;Very High;No;9;30;3;2;2;2;High;3;Better;Outstanding;Very High
107;29;F; 3 433,50 € ;Homme;Célibataire;Ordinateurs;R&D;Développeur logiciels;3;Rarement;Oui;Démission;Travel_Frequently;1;High;5;Medium;Yes;3;28;8;3;0;7;Low;1;Good;Excellent;Low
108;32;F; 8 271,00 € ;Femme;Divorcé;Logiciels;R&D;Responsable d'équipe;2;Jamais;Non;En poste;Travel_Rarely;5;Medium;2;High;Yes;1;6;6;4;0;3;High;1;Better;Excellent;Very High
109;31;F; 2 806,00 € ;Homme;Divorcé;Digital;R&D;Directeur Commercial;8;Rarement;Non;En poste;Travel_Rarely;7;Medium;1;Very High;No;1;2;2;2;2;1;Very High;2;Better;Excellent;High
110;33;F; 13 145,50 € ;Homme;Divorcé;Ordinateurs;R&D;Responsable Qualité;2;Rarement;Non;En poste;Travel_Rarely;15;High;1;Very High;No;1;1;0;0;0;0;Medium;5;Better;Excellent;High
111;39;M; 3 886,00 € ;Homme;Célibataire;Ordinateurs;R&D;Directeur Commercial;0;Rarement;Non;En poste;Travel_Frequently;1;Medium;3;Low;No;3;23;13;12;12;8;Low;1;Good;Outstanding;High
112;55;M; 6 496,00 € ;Homme;Marié;Logiciels;R&D;Responsable d'équipe;7;Ponctuellement;Oui;En poste;Travel_Frequently;7;Low;2;High;Yes;1;9;9;7;0;6;Low;3;Better;Outstanding;Very High
113;39;M; 1 783,50 € ;Homme;Marié;Ordinateurs;Ventes;Ingénieur d'affaires;4;Rarement;Oui;En poste;Non-Travel;26;Very High;4;Very High;Yes;2;23;5;3;4;4;Very High;3;Better;Excellent;High
114;39;M; 4 414,00 € ;Femme;Marié;Marketing;Ventes;Ingénieur d'affaires;6;Rarement;Non;En poste;Travel_Rarely;18;High;1;High;No;0;6;5;3;1;2;Medium;2;Better;Excellent;High
115;29;M; 7 717,00 € ;Homme;Marié;Logiciels;Ressources Humaines;Chargé Ressources Humaines;0;Rarement;Non;En poste;Travel_Rarely;6;Medium;2;Medium;No;6;12;1;0;0;0;High;3;Better;Excellent;High
116;44;M; 2 252,50 € ;Homme;Divorcé;Digital;Ventes;Ingénieur d'affaires;4;Rarement;Non;En poste;Travel_Rarely;3;High;3;Very High;No;2;12;5;3;1;3;High;3;Better;Excellent;Low
117;46;M; 6 184,00 € ;Homme;Divorcé;Logiciels;R&D;Responsable d'équipe;3;Rarement;Non;En poste;Travel_Rarely;5;Medium;3;Low;No;2;14;11;10;5;8;High;6;Better;Excellent;Very High
118;55;F; 2 466,50 € ;Homme;Célibataire;Ordinateurs;R&D;Directeur Commercial;4;Ponctuellement;Non;Démission;Travel_Frequently;11;High;3;Very High;No;0;10;9;7;2;8;Medium;6;Better;Excellent;High
119;25;M; 7 839,00 € ;Homme;Marié;Ordinateurs;Ventes;Ingénieur d'affaires;2;Rarement;Non;En poste;Travel_Rarely;3;High;1;Very High;No;5;7;1;0;0;0;Low;2;Better;Outstanding;Low
120;28;M; 7 467,50 € ;Homme;Célibataire;Ordinateurs;R&D;Responsable Qualité;0;Rarement;Non;Démission;Travel_Frequently;26;High;4;Very High;Yes;1;25;25;12;4;12;High;3;Best;Excellent;Very High
121;38;M; 9 595,50 € ;Femme;Divorcé;Logiciels;Ventes;Ingénieur d'affaires;7;Rarement;Oui;En poste;Travel_Frequently;23;Low;1;High;No;1;10;10;7;0;9;Low;2;Good;Outstanding;High
122;48;F; 9 298,50 € ;Homme;Marié;Marketing;Ventes;Ingénieur d'affaires;2;Rarement;Non;En poste;Non-Travel;22;High;2;Medium;No;0;8;7;7;0;7;High;2;Best;Excellent;Low
