ID;Programme de Fid;Age;Classe d'age;Sexe;Annee du premier vol;Nombre de vols par an;Classe du nombre de vols par an;Motif du voyage; Depenses aeroport de depart ; Depenses restauration aeroport ;Classe;Compagnie;Nationalite compagnie;Ville de depart;Pays de depart;Ville de destination;Pays de destination;Heure;Heure de depart;Date du vol;Retard au depart en minutes;Annulation du vol;SATISFACTION;Duree du vol;Distance parcourue en miles;Retard a l'arrivee de + de 30 min;Aeronef;Marque Aeronef
100011;Blue;29,00;20-29;M;2007;5,00;1 a 10;Affaire; -   € ; 30,00 € ;Eco;OnlyJets Airlines;Australia;New York;USA;Paris;France;03:21:12;3;01/03/2016;0,00;Non;4;17,00;1598,00;Non;A330;Airbus
100012;Blue;29,00;20-29;M;2012;11,00;11 a 20;Affaire; -   € ; 60,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;Paris;France;03:28:59;3;16/03/2016;0,00;Non;4;17,00;11000,00;Non;A380;Airbus
100013;Silver;30,00;30-39;F;2005;19,00;11 a 20;Affaire; 15,00 € ; 150,00 € ;Eco;Sky Airlines;USA;Tokyo;Japan;Geneve;Switzerland;08:50:40;8;25/12/2015;0,00;Non;4;12,00;918,00;Non;B747;Boeing
100014;Silver;31,00;30-39;M;2004;14,00;11 a 20;Affaire; -   € ; 20,00 € ;Eco;Sky Airlines;USA;Roma;Italy;Paris;France;14:01:05;14;20/03/2016;5,00;Non;4;12,00;346,00;Non;A330;Airbus
100015;Blue;32,00;30-39;M;2008;6,00;1 a 10;Affaire; 10,00 € ; 60,00 € ;Eco;OnlyJets Airlines;Australia;Madrid;Spain;Paris;France;17:01:52;17;15/01/2016;0,00;Non;4;17,00;1111,00;Non;A330;Airbus
100016;Blue;32,00;30-39;M;2004;29,00;21 a 30;Affaire; 20,00 € ; 90,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;New York;USA;11:55:30;11;12/12/2015;17,00;Non;5;24,00;20000,00;Non;A380;Airbus
100017;Blue;34,00;30-39;F;2010;11,00;11 a 20;Affaire; -   € ; 50,00 € ;Eco;OnlyJets Airlines;Australia;New York;USA;Paris;France;10:48:20;10;30/01/2016;1,00;Non;4;17,00;1598,00;Non;A330;Airbus
100018;Silver;35,00;30-39;M;2006;18,00;11 a 20;Affaire; -   € ; 15,00 € ;Business;Blue Airlines;China;Tokyo;Japan;Paris;France;21:30:49;21;02/01/2016;0,00;Non;4;22,00;4243,00;Non;A330;Airbus
100019;Gold;35,00;30-39;M;2005;35,00;31 a 40;Affaire; -   € ; 120,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;Paris;France;09:57:15;9;25/12/2015;0,00;Non;4;12,00;11000,00;Non;A380;Airbus
100020;Platinum;35,00;30-39;M;2011;13,00;11 a 20;Affaire; 15,00 € ; 30,00 € ;Business;Sky Airlines;USA;Pekin;China;London;United Kingdom;03:16:28;3;17/02/2016;0,00;Non;4;12,00;21000,00;Non;A380;Airbus
100021;Blue;35,00;30-39;M;2007;41,00;41 a 50;Affaire; -   € ; 75,00 € ;Eco;Sky Airlines;USA;Pekin;China;Nice;France;06:43:19;6;04/03/2016;0,00;Non;5;17,00;23000,00;Non;A380;Airbus
100022;Blue;35,00;30-39;M;2012;11,00;11 a 20;Affaire; -   € ; 35,00 € ;Eco Plus;Sky Airlines;USA;Pekin;China;Nice;France;07:07:55;7;12/01/2016;7,00;Non;5;12,00;23000,00;Non;A380;Airbus
100023;Blue;36,00;30-39;F;2011;21,00;21 a 30;Billet Miles; -   € ; 135,00 € ;Eco;OnlyJets Airlines;Australia;Madrid;Spain;London;United Kingdom;12:56:29;12;02/01/2016;42,00;Non;4;12,00;759,00;Non;A330;Airbus
100024;Blue;37,00;30-39;M;2004;42,00;41 a 50;Affaire; -   € ; 180,00 € ;Eco;China Airlines;China;Pekin;China;New York;USA;03:18:52;3;17/01/2016;0,00;Non;5;12,00;30000,00;Non;A380;Airbus
100025;Blue;38,00;30-39;M;2012;12,00;11 a 20;Affaire; -   € ; 40,00 € ;Eco;Sky Airlines;USA;Nice;France;Paris;France;05:16:48;5;24/12/2015;0,00;Non;5;1,00;408,00;Non;A380;Airbus
100026;Blue;38,00;30-39;M;2004;13,00;11 a 20;Affaire; -   € ; 45,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;New York;USA;22:37:14;22;24/02/2016;0,00;Non;5;24,00;20000,00;Non;A380;Airbus
100027;Blue;39,00;30-39;F;2003;18,00;11 a 20;Loisir; -   € ; 65,00 € ;Eco;Cloud Airlines;France;Paris;France;Roma;Italy;10:11:31;10;20/01/2016;2,00;Non;4;2,00;1000,00;Oui;A330;Airbus
100028;Gold;40,00;40-49;F;2003;5,00;1 a 10;Affaire; 15,00 € ; 120,00 € ;Eco;Cheap Sky;France;Lisbon;Portugal;Nice;France;20:12:37;20;23/12/2015;0,00;Non;2;12,00;776,00;Oui;A330;Airbus
100029;Blue;41,00;40-49;M;2006;6,00;1 a 10;Affaire; -   € ; 85,00 € ;Eco;Blue Airlines;China;Tokyo;Japan;Paris;France;00:20:19;0;17/02/2016;2,00;Non;4;12,00;733,00;Non;A330;Airbus
100030;Silver;41,00;40-49;M;2005;11,00;11 a 20;Affaire; 10,00 € ; 70,00 € ;Eco;Sky Airlines;USA;Paris;France;Lisbon;Portugal;13:21:33;13;16/03/2016;117,00;Non;4;2,00;1000,00;Non;A330;Airbus
100031;Gold;41,00;40-49;F;2011;1,00;1 a 10;Affaire; 35,00 € ; 50,00 € ;Eco Plus;Cheap Sky;France;Lisbon;Portugal;Nice;France;18:39:31;18;04/03/2016;0,00;Non;4;12,00;1024,00;Non;A330;Airbus
100032;Silver;42,00;40-49;F;2003;41,00;41 a 50;Affaire; 35,00 € ; 30,00 € ;Business;Sky Airlines;USA;Montreal;Canada;London;United Kingdom;22:14:49;22;23/02/2016;45,00;Non;2;12,00;10500,00;Oui;A380;Airbus
100033;Blue;47,00;40-49;F;2003;36,00;31 a 40;Loisir; -   € ; 70,00 € ;Eco;Northwest Airlines;Australia;Los Angeles;USA;Tokyo;Japan;06:44:15;6;15/03/2016;0,00;Non;4;12,00;326,00;Non;A330;Airbus
100034;Silver;47,00;40-49;F;2004;34,00;31 a 40;Affaire; 30,00 € ; 60,00 € ;Eco;China Airlines;China;Bruxelles;Belgium;New York;USA;10:02:39;10;12/03/2016;0,00;Non;5;10,00;10000,00;Non;A380;Airbus
100035;Gold;47,00;40-49;M;2008;19,00;11 a 20;Affaire; -   € ; 75,00 € ;Business;Sky Airlines;USA;Sydney;Australia;New York;USA;12:31:18;12;29/12/2015;45,00;Oui;1;24,00;20000,00;Oui;A350;Airbus
100036;Silver;48,00;40-49;M;2003;11,00;11 a 20;Affaire; -   € ; 180,00 € ;Eco;Sky Airlines;USA;Roma;Italy;Paris;France;13:53:18;13;15/02/2016;0,00;Non;4;12,00;199,00;Non;A330;Airbus
100037;Blue;50,00;50-59;F;2007;7,00;1 a 10;Affaire; -   € ; 60,00 € ;Eco;Sky Airlines;USA;Pekin;China;Nice;France;22:45:04;22;07/03/2016;0,00;Non;5;12,00;23000,00;Non;A380;Airbus
100038;Blue;51,00;50-59;F;2009;31,00;31 a 40;Billet Miles; -   € ; 130,00 € ;Eco;Northwest Airlines;Australia;Lisbon;Portugal;Berlin;Germany;15:37:52;15;26/02/2016;0,00;Non;3;12,00;588,00;Oui;A330;Airbus
100039;Blue;51,00;50-59;M;2003;27,00;21 a 30;Affaire; -   € ; 35,00 € ;Business;Cloud Airlines;France;Paris;France;Roma;Italy;07:11:50;7;12/03/2016;30,00;Non;1;2,00;1500,00;Non;A330;Airbus
100040;Blue;51,00;50-59;F;2004;34,00;31 a 40;Affaire; -   € ; 30,00 € ;Eco;Cloud Airlines;France;Geneve;Switzerland;Lyon;France;10:19:53;10;07/01/2016;0,00;Non;2;1,00;2000,00;Non;B747;Boeing
100041;Gold;51,00;50-59;M;2004;36,00;31 a 40;Billet Miles; -   € ; 30,00 € ;Eco;Sky Airlines;USA;Pekin;China;Paris;France;06:14:39;6;19/01/2016;3,00;Non;5;12,00;23000,00;Non;A380;Airbus
100042;Blue;52,00;50-59;M;2011;19,00;11 a 20;Billet Miles; -   € ; 30,00 € ;Eco;Blue Airlines;China;Tokyo;Japan;Bruxelles;Belgium;05:25:46;5;18/02/2016;0,00;Non;4;12,00;447,00;Non;A330;Airbus
100043;Blue;53,00;50-59;M;2003;16,00;11 a 20;Affaire; 153,00 € ; 60,00 € ;Business;Sky Airlines;USA;Sydney;Australia;Nice;France;21:21:55;21;16/02/2016;60,00;Non;1;12,00;10000,00;Oui;A380;Airbus
100044;Platinum;54,00;50-59;M;2004;31,00;21 a 30;Affaire; -   € ; 75,00 € ;Eco;Northwest Airlines;Australia;Los Angeles;USA;London;United Kingdom;23:34:13;23;17/02/2016;0,00;Non;4;20,00;77,00;Non;A330;Airbus
100045;Silver;54,00;50-59;F;2007;22,00;21 a 30;Affaire; -   € ; 55,00 € ;Eco;Northwest Airlines;Australia;Lisbon;Portugal;Berlin;Germany;01:57:48;1;06/01/2016;8,00;Non;4;17,00;1250,00;Non;A330;Airbus
100046;Blue;55,00;50-59;M;2009;38,00;31 a 40;Affaire; -   € ; 60,00 € ;Eco;Sky Airlines;USA;Pekin;China;Paris;France;00:12:45;0;20/02/2016;5,00;Non;5;12,00;23000,00;Non;A380;Airbus
100047;Silver;56,00;50-59;M;2010;23,00;21 a 30;Affaire; 130,00 € ; 300,00 € ;Eco;Cloud Airlines;France;Paris;France;Beijing;China;06:05:15;6;05/03/2016;0,00;Non;4;15,00;12000,00;Oui;A330;Airbus
100048;Silver;58,00;50-59;M;2003;1,00;0;Loisir; 105,00 € ; 195,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;New York;USA;03:58:04;3;06/02/2016;6,00;Non;5;24,00;20000,00;Non;A380;Airbus
100049;Blue;59,00;50-59;F;2011;1,00;0;Billet Miles; 15,00 € ; 45,00 € ;Eco Plus;Blue Airlines;China;Tokyo;Japan;Bruxelles;Belgium;02:01:13;2;20/02/2016;22,00;Non;4;12,00;337,00;Non;A330;Airbus
100050;Gold;59,00;50-59;M;2007;23,00;21 a 30;Loisir; -   € ; 180,00 € ;Eco;Blue Airlines;China;Tokyo;Japan;Paris;France;15:58:51;15;15/03/2016;16,00;Non;4;17,00;1846,00;Non;A350;Airbus
100051;Blue;61,00;60-69;F;2003;37,00;31 a 40;Loisir; -   € ; 75,00 € ;Eco;Sky Airlines;USA;Pekin;China;Paris;France;06:22:50;6;31/01/2016;0,00;Non;4;12,00;23000,00;Non;A380;Airbus
100052;Blue;63,00;60-69;M;2010;29,00;21 a 30;Affaire; 180,00 € ; 75,00 € ;Eco;Northwest Airlines;Australia;New York;USA;London;United Kingdom;11:57:07;11;19/12/2015;39,00;Non;4;17,00;1334,00;Non;A330;Airbus
100053;Blue;63,00;60-69;M;2008;41,00;31 a 40;Billet Miles; -   € ; 60,00 € ;Eco Plus;Sky Airlines;USA;Nice;France;London;United Kingdom;03:26:21;3;02/01/2016;102,00;Non;5;2,00;1500,00;Non;A380;Airbus
100054;Blue;64,00;60-69;F;2004;38,00;31 a 40;Loisir; -   € ; 35,00 € ;Eco;Sky Airlines;USA;Pekin;China;London;United Kingdom;19:17:20;19;21/01/2016;6,00;Non;5;12,00;21000,00;Non;A380;Airbus
100055;Blue;65,00;60-69;F;2011;13,00;11 a 20;Affaire; -   € ; -   € ;Eco Plus;Sky Airlines;USA;Roma;Italy;Paris;France;17:23:25;17;29/01/2016;156,00;Non;4;12,00;351,00;Non;A330;Airbus
100056;Gold;65,00;60-69;M;2008;15,00;11 a 20;Affaire; 15,00 € ; 30,00 € ;Eco;Blue Airlines;China;Tokyo;Japan;Paris;France;21:57:59;21;29/02/2016;112,00;Non;4;17,00;2419,00;Non;A330;Airbus
100057;Silver;66,00;60-69;F;2012;4,00;1 a 10;Billet Miles; -   € ; 110,00 € ;Eco;Cool Airlines;United Kingdom;Pekin;China;Nice;France;21:38:53;21;18/12/2015;5,00;Non;5;17,00;23000,00;Non;A380;Airbus
100058;Gold;68,00;60-69;F;2006;6,00;1 a 10;Loisir; -   € ; 145,00 € ;Eco;China Airlines;China;Pekin;China;New York;USA;05:47:34;5;10/03/2016;0,00;Non;5;12,00;30000,00;Non;A380;Airbus
100059;Blue;69,00;60-69;F;2012;21,00;11 a 20;Loisir; 60,00 € ; 120,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;New York;USA;19:00:51;19;21/01/2016;0,00;Non;5;24,00;20000,00;Non;A380;Airbus
100060;Blue;75,00;70-79;F;2006;28,00;21 a 30;Loisir; 8,00 € ; 100,00 € ;Eco;Cheap Sky;France;New York;USA;Paris;France;11:18:31;11;08/03/2016;0,00;Non;2;25,00;102,00;Oui;A330;Airbus
100061;Blue;80,00;80+;F;2012;62,00;61 a 70;Loisir; -   € ; 45,00 € ;Business;Northwest Airlines;Australia;New York;USA;Berlin;Germany;21:51:22;21;29/12/2015;1,00;Non;4;12,00;358,00;Non;A350;Airbus
100062;Gold;80,00;80+;F;2004;38,00;31 a 40;Loisir; -   € ; 135,00 € ;Eco;Sky Airlines;USA;Pekin;China;Paris;France;22:09:09;22;21/03/2016;2,00;Non;4;12,00;23000,00;Non;A380;Airbus
100063;Blue;85,00;80+;M;2009;37,00;31 a 40;Loisir; -   € ; 75,00 € ;Eco;Cloud Airlines;France;Roma;Italy;Paris;France;11:15:14;11;04/02/2016;0,00;Non;4;12,00;594,00;Non;A330;Airbus
100064;Blue;85,00;80+;M;2006;35,00;31 a 40;Loisir; -   € ; 120,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;Nice;France;13:31:53;13;10/02/2016;0,00;Non;5;12,00;10000,00;Non;A380;Airbus
100065;Blue;15,00;0-19;F;2012;1,00;0;Loisir; 90,00 € ; 20,00 € ;Business;Northwest Airlines;Australia;Los Angeles;USA;London;United Kingdom;10:42:50;10;09/02/2016;0,00;Non;4;12,00;817,00;Non;A330;Airbus
100066;Blue;15,00;0-19;M;2008;21,00;11 a 20;Loisir; -   € ; 60,00 € ;Eco;China Airlines;China;Pekin;China;Nice;France;07:37:57;7;24/02/2016;0,00;Non;5;12,00;23000,00;Non;A380;Airbus
100067;Blue;16,00;0-19;F;2006;1,00;1 a 10;Affaire; 25,00 € ; 20,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;London;United Kingdom;00:26:42;0;10/02/2016;0,00;Non;4;17,00;10000,00;Non;A380;Airbus
100068;Blue;17,00;0-19;M;2008;5,00;1 a 10;Affaire; 15,00 € ; 135,00 € ;Eco Plus;Blue Airlines;China;Tokyo;Japan;Bruxelles;Belgium;14:43:01;14;03/03/2016;0,00;Non;4;17,00;1737,00;Non;A330;Airbus
100069;Blue;17,00;0-19;F;2003;13,00;11 a 20;Loisir; 10,00 € ; 90,00 € ;Eco Plus;Sky Airlines;USA;Pekin;China;London;United Kingdom;23:32:55;23;10/01/2016;0,00;Non;5;12,00;21000,00;Non;A380;Airbus
100070;Blue;20,00;20-29;M;2011;1,00;0;Affaire; 30,00 € ; 5,00 € ;Business;Northwest Airlines;Australia;Lisbon;Portugal;Berlin;Germany;00:37:45;0;15/03/2016;0,00;Non;4;22,00;67,00;Non;A330;Airbus
100071;Blue;20,00;20-29;M;2005;1,00;0;Billet Miles; -   € ; 5,00 € ;Eco;Sky Airlines;USA;Nice;France;London;United Kingdom;19:00:11;19;26/01/2016;3,00;Non;5;2,00;1000,00;Non;A380;Airbus
100072;Silver;25,00;20-29;F;2010;6,00;1 a 10;Affaire; 5,00 € ; 90,00 € ;Eco;Cloud Airlines;France;Lisbon;Portugal;Nice;France;14:17:59;14;03/02/2016;0,00;Non;2;24,00;82,00;Non;A330;Airbus
100073;Blue;26,00;20-29;M;2004;64,00;61 a 70;Loisir; 4,00 € ; 20,00 € ;Eco;OnlyJets Airlines;Australia;Madrid;Spain;Paris;France;10:56:51;10;03/03/2016;0,00;Non;4;12,00;474,00;Non;A330;Airbus
100074;Gold;28,00;20-29;M;2007;31,00;21 a 30;Loisir; 40,00 € ; 52,00 € ;Eco;Cloud Airlines;France;Lisbon;Portugal;Nice;France;06:34:14;6;25/01/2016;0,00;Non;5;12,00;261,00;Non;A330;Airbus
100075;Blue;30,00;30-39;M;2006;23,00;21 a 30;Affaire; -   € ; 150,00 € ;Eco;Northwest Airlines;Australia;New York;USA;Berlin;Germany;14:26:23;14;23/12/2015;0,00;Non;4;12,00;726,00;Non;B747;Boeing
100076;Silver;30,00;30-39;F;2005;9,00;1 a 10;Affaire; -   € ; 45,00 € ;Business;Cloud Airlines;France;Montreal;Canada;Lyon;France;00:56:20;0;04/03/2016;0,00;Non;4;8,00;10000,00;Non;A320;Airbus
100077;Silver;31,00;30-39;F;2010;3,00;1 a 10;Affaire; -   € ; 60,00 € ;Eco;Sky Airlines;USA;Madrid;Spain;Paris;France;13:33:37;13;29/12/2015;26,00;Non;5;12,00;406,00;Non;B747;Boeing
100078;Gold;31,00;30-39;F;2004;9,00;1 a 10;Affaire; 60,00 € ; 30,00 € ;Eco;Sky Airlines;USA;Paris;France;Lisbon;Portugal;01:34:38;1;28/01/2016;58,00;Non;4;2,00;1000,00;Non;A330;Airbus
100079;Blue;31,00;30-39;M;2010;14,00;11 a 20;Affaire; -   € ; 80,00 € ;Eco Plus;Sky Airlines;USA;Sydney;Australia;Nice;France;22:43:15;22;14/01/2016;0,00;Non;5;12,00;11000,00;Non;A380;Airbus
100080;Blue;31,00;30-39;M;2007;42,00;41 a 50;Affaire; 141,00 € ; 65,00 € ;Eco;Sky Airlines;USA;Pekin;China;London;United Kingdom;21:44:49;21;12/02/2016;24,00;Non;4;12,00;21000,00;Non;A380;Airbus
100081;Gold;32,00;30-39;F;2007;26,00;21 a 30;Affaire; 1,00 € ; 90,00 € ;Eco;Sky Airlines;USA;Pekin;China;Paris;France;10:58:32;10;18/02/2016;0,00;Non;5;17,00;23000,00;Non;A380;Airbus
100082;Silver;33,00;30-39;M;2008;33,00;31 a 40;Affaire; 55,00 € ; 35,00 € ;Eco;Sky Airlines;USA;Tokyo;Japan;London;United Kingdom;13:25:49;13;12/01/2016;0,00;Non;4;12,00;1235,00;Non;A350;Airbus
100083;Blue;34,00;30-39;F;2011;15,00;11 a 20;Loisir; 180,00 € ; 60,00 € ;Eco;Cheap Sky;France;Lisbon;Portugal;Sydney;Australia;09:38:10;9;27/01/2016;30,00;Non;1;12,00;627,00;Oui;A330;Airbus
100084;Gold;35,00;30-39;F;2010;25,00;21 a 30;Affaire; -   € ; 210,00 € ;Eco;Sky Airlines;USA;Nice;France;Paris;France;19:33:42;19;25/12/2015;0,00;Non;5;1,00;408,00;Non;A380;Airbus
100085;Blue;36,00;30-39;M;2006;32,00;31 a 40;Affaire; -   € ; 105,00 € ;Eco;Sky Airlines;USA;Roma;Italy;Paris;France;19:30:37;19;18/02/2016;0,00;Non;4;12,00;488,00;Non;A330;Airbus
100086;Blue;36,00;30-39;F;2010;4,00;1 a 10;Billet Miles; -   € ; 140,00 € ;Eco;Cloud Airlines;France;Paris;France;Roma;Italy;07:50:04;7;13/02/2016;30,00;Oui;1;2,00;1000,00;Non;A330;Airbus
100087;Blue;36,00;30-39;M;2009;22,00;21 a 30;Affaire; 5,00 € ; 70,00 € ;Eco;Sky Airlines;USA;Pekin;China;London;United Kingdom;20:00:46;20;22/01/2016;26,00;Non;4;12,00;21000,00;Non;A380;Airbus
100088;Blue;38,00;30-39;F;2003;28,00;21 a 30;Affaire; 60,00 € ; 45,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;Paris;France;22:27:27;22;11/01/2016;0,00;Non;4;12,00;11000,00;Non;A380;Airbus
100089;Silver;39,00;30-39;M;2003;8,00;1 a 10;Affaire; -   € ; 50,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;London;United Kingdom;06:44:01;6;08/02/2016;18,00;Non;4;12,00;11000,00;Non;A380;Airbus
100090;Silver;40,00;40-49;F;2012;2,00;1 a 10;Affaire; 30,00 € ; 60,00 € ;Eco Plus;Sky Airlines;USA;Roma;Italy;Paris;France;15:56:34;15;08/03/2016;0,00;Oui;1;1,00;529,00;Non;A330;Airbus
100091;Silver;40,00;40-49;F;2003;1,00;1 a 10;Billet Miles; -   € ; 192,00 € ;Eco;Sky Airlines;USA;Paris;France;Lisbon;Portugal;07:26:38;7;13/02/2016;0,00;Oui;1;2,00;1000,00;Oui;A330;Airbus
100092;Blue;41,00;40-49;F;2006;6,00;1 a 10;Billet Miles; -   € ; 65,00 € ;Eco;Northwest Airlines;Australia;London;United Kingdom;Paris;France;03:48:13;3;17/03/2016;20,00;Non;4;12,00;391,00;Non;A330;Airbus
100093;Silver;44,00;40-49;M;2010;19,00;11 a 20;Billet Miles; 5,00 € ; 60,00 € ;Business;Sky Airlines;USA;Roma;Italy;Paris;France;11:51:05;11;14/01/2016;14,00;Non;4;12,00;667,00;Non;A330;Airbus
100094;Blue;45,00;40-49;F;2003;5,00;1 a 10;Loisir; -   € ; 30,00 € ;Eco;Sky Airlines;USA;Pekin;China;Madrid;Spain;11:09:41;11;05/02/2016;0,00;Non;5;12,00;21000,00;Non;A380;Airbus
100095;Blue;46,00;40-49;M;2008;7,00;1 a 10;Affaire; 20,00 € ; 30,00 € ;Eco;Cloud Airlines;France;Roma;Italy;Paris;France;14:21:37;14;18/12/2015;0,00;Non;4;12,00;296,00;Non;A330;Airbus
100096;Gold;46,00;40-49;M;2009;13,00;11 a 20;Affaire; -   € ; 105,00 € ;Eco;Northwest Airlines;Australia;Lisbon;Portugal;Berlin;Germany;02:03:50;2;20/03/2016;133,00;Non;4;12,00;554,00;Non;A330;Airbus
100097;Gold;46,00;40-49;M;2012;13,00;11 a 20;Affaire; -   € ; 90,00 € ;Eco Plus;Sky Airlines;USA;Nice;France;London;United Kingdom;11:25:34;11;13/03/2016;0,00;Non;5;2,00;1500,00;Non;A380;Airbus
100098;Gold;46,00;40-49;M;2008;4,00;1 a 10;Affaire; -   € ; 105,00 € ;Eco;Sky Airlines;USA;Pekin;China;Paris;France;16:19:59;16;09/02/2016;15,00;Non;4;17,00;23000,00;Non;A380;Airbus
100099;Blue;47,00;40-49;F;2003;1,00;0;Affaire; 60,00 € ; 105,00 € ;Eco Plus;Cheap Sky;France;Madrid;Spain;Sydney;Australia;10:23:58;10;31/01/2016;0,00;Non;4;12,00;973,00;Non;A330;Airbus
100100;Blue;47,00;40-49;M;2010;23,00;21 a 30;Affaire; -   € ; 90,00 € ;Eco;Sky Airlines;USA;Paris;France;Lisbon;Portugal;23:01:12;23;12/12/2015;0,00;Non;4;2,00;1500,00;Non;A330;Airbus
100101;Blue;49,00;40-49;M;2004;4,00;1 a 10;Affaire; -   € ; 105,00 € ;Eco;Sky Airlines;USA;Nice;France;Paris;France;05:41:49;5;14/01/2016;4,00;Non;5;1,00;98,00;Non;A380;Airbus
100102;Blue;49,00;40-49;F;2003;17,00;11 a 20;Affaire; 17,00 € ; 50,00 € ;Eco;China Airlines;China;Pekin;China;Nice;France;23:45:41;23;04/02/2016;0,00;Non;5;12,00;23000,00;Non;A380;Airbus
100103;Blue;51,00;50-59;F;2012;7,00;1 a 10;Loisir; -   € ; 45,00 € ;Eco Plus;OnlyJets Airlines;Australia;Madrid;Spain;London;United Kingdom;09:27:20;9;05/03/2016;0,00;Non;4;12,00;200,00;Non;A330;Airbus
100104;Blue;51,00;50-59;M;2006;1,00;0;Affaire; -   € ; 30,00 € ;Eco;Cloud Airlines;France;Paris;France;Lisbon;Portugal;11:28:19;11;30/01/2016;5,00;Non;4;2,00;1500,00;Non;B747;Boeing
100105;Silver;52,00;50-59;F;2012;5,00;1 a 10;Affaire; -   € ; -   € ;Eco Plus;Sky Airlines;USA;Tokyo;Japan;London;United Kingdom;21:03:20;21;28/01/2016;21,00;Non;4;12,00;1171,00;Non;A330;Airbus
100106;Blue;52,00;50-59;F;2010;37,00;31 a 40;Loisir; -   € ; 50,00 € ;Business;Blue Airlines;China;Tokyo;Japan;Beijing;China;12:25:11;12;25/01/2016;1,00;Non;4;17,00;2065,00;Non;A330;Airbus
100107;Blue;52,00;50-59;M;2009;1,00;0;Billet Miles; -   € ; 120,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;Paris;France;14:52:34;14;15/12/2015;2,00;Non;4;12,00;10000,00;Non;B747;Boeing
100108;Blue;53,00;50-59;F;2010;28,00;21 a 30;Loisir; -   € ; 15,00 € ;Eco;Northwest Airlines;Australia;Los Angeles;USA;London;United Kingdom;10:21:43;10;14/12/2015;0,00;Non;4;12,00;522,00;Non;A330;Airbus
100109;Blue;54,00;50-59;F;2004;9,00;1 a 10;Loisir; -   € ; 40,00 € ;Eco;Cool Airlines;United Kingdom;Pekin;China;New York;USA;16:54:27;16;15/01/2016;9,00;Non;5;12,00;30000,00;Non;A380;Airbus
